"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","1.810","1.905","1.985","1.800","1,88B","-3,98%"
"01/10/2025","1.885","1.700","2.010","1.625","3,66B","11,54%"
"01/09/2025","1.690","1.705","1.820","1.630","1,99B","-3,70%"
"01/08/2025","1.755","1.855","1.920","1.715","2,55B","-5,14%"
"01/07/2025","1.850","1.845","2.050","1.730","1,53B","1,09%"
"01/06/2025","1.830","2.200","2.210","1.765","1,61B","-16,82%"
"01/05/2025","2.200","1.875","2.430","1.850","2,59B","15,79%"
"01/04/2025","1.900","1.725","1.930","1.600","1,17B","2,98%"
"01/03/2025","1.845","2.100","2.110","1.680","1,53B","-10,87%"
"01/02/2025","2.070","2.320","2.390","2.010","771,04M","-11,16%"
"01/01/2025","2.330","2.440","2.580","2.250","1,10B","-4,12%"
"01/12/2024","2.430","2.090","2.880","2.090","3,21B","16,83%"
"01/11/2024","2.080","3.620","4.300","2.070","3,76B","-42,54%"
"01/10/2024","3.620","3.830","3.930","3.580","1,30B","-4,99%"
"01/09/2024","3.810","3.590","4.050","3.390","2,35B","7,02%"
"01/08/2024","3.560","3.220","3.590","3.070","1,37B","10,56%"
"01/07/2024","3.220","2.790","3.270","2.760","840,80M","15,41%"
"01/06/2024","2.790","2.800","2.940","2.640","617,03M","0,72%"
"01/05/2024","2.770","2.720","2.970","2.600","814,20M","2,21%"
"01/04/2024","2.710","2.700","2.840","2.550","593,58M","0,37%"
"01/03/2024","2.700","2.450","2.760","2.430","989,05M","11,57%"
"01/02/2024","2.420","2.420","2.570","2.360","614,24M","0,83%"
"01/01/2024","2.400","2.380","2.530","2.320","904,05M","0,84%"
"01/12/2023","2.380","2.640","2.650","2.370","863,96M","-9,16%"
"01/11/2023","2.620","2.500","2.620","2.380","738,67M","2,34%"
"01/10/2023","2.560","2.830","2.880","2.430","994,01M","-10,18%"
"01/09/2023","2.850","2.680","2.990","2.670","1,15B","6,74%"
"01/08/2023","2.670","2.410","2.780","2.330","999,09M","10,79%"
"01/07/2023","2.410","2.270","2.520","2.260","954,94M","8,07%"
"01/06/2023","2.230","2.090","2.350","2.080","851,58M","9,31%"
"01/05/2023","2.040","3.100","3.100","2.010","2,13B","-34,82%"
"01/04/2023","3.130","2.940","3.160","2.860","909,16M","7,93%"
"01/03/2023","2.900","3.000","3.130","2.600","1,38B","-3,01%"
"01/02/2023","2.990","2.940","3.040","2.710","1,47B","1,01%"
"01/01/2023","2.960","3.610","3.650","2.940","1,80B","-23,12%"
"01/12/2022","3.850","3.930","3.990","3.630","1,37B","-0,52%"
"01/11/2022","3.870","3.940","3.940","3.440","1,69B","-2,76%"
"01/10/2022","3.980","3.930","4.250","3.800","1,60B","0,51%"
"01/09/2022","3.960","3.560","4.190","3.540","2,33B","11,86%"
"01/08/2022","3.540","3.260","3.700","3.030","2,20B","8,92%"
"01/07/2022","3.250","2.860","3.350","2.660","2,09B","13,64%"
"01/06/2022","2.860","3.260","3.710","2.810","3,41B","-12,54%"
"01/05/2022","3.270","3.380","3.410","2.980","2,54B","-2,10%"
"01/04/2022","3.340","2.690","3.460","2.690","2,56B","24,16%"
"01/03/2022","2.690","2.560","3.270","2.500","4,09B","9,80%"
"01/02/2022","2.450","2.260","2.590","2.110","2,33B","9,38%"
"01/01/2022","2.240","2.170","2.470","2.160","3,18B","-0,44%"
"01/12/2021","2.250","1.730","2.330","1.700","4,72B","32,35%"
"01/11/2021","1.700","1.655","1.750","1.580","1,55B","1,19%"
"01/10/2021","1.680","1.775","1.980","1.605","4,22B","-4,55%"
"01/09/2021","1.760","1.280","1.805","1.275","2,92B","39,68%"
"01/08/2021","1.260","1.345","1.430","1.245","1,53B","-5,62%"
"01/07/2021","1.335","1.220","1.365","1.195","1,39B","10,79%"
"01/06/2021","1.205","1.195","1.405","1.190","2,19B","1,26%"
"01/05/2021","1.190","1.260","1.260","1.160","1,00B","-4,42%"
"01/04/2021","1.245","1.175","1.260","1.160","991,36M","5,96%"
"01/03/2021","1.175","1.195","1.340","1.160","2,78B","-0,42%"
"01/02/2021","1.180","1.205","1.265","1.150","2,39B","-1,67%"
"01/01/2021","1.200","1.430","1.540","1.160","2,84B","-16,08%"
"01/12/2020","1.430","1.410","1.600","1.340","3,81B","2,88%"
"01/11/2020","1.390","1.120","1.475","1.100","2,66B","23,56%"
"01/10/2020","1.125","1.150","1.240","1.090","1,23B","-0,88%"
"01/09/2020","1.135","1.090","1.280","1.080","1,79B","4,61%"
"01/08/2020","1.085","1.090","1.170","1.010","1,09B","0,00%"
"01/07/2020","1.085","995","1.180","990","1,65B","9,05%"
"01/06/2020","995","1.100","1.240","990","1,43B","-9,55%"
"01/05/2020","1.100","920","1.100","870","1,23B","19,57%"
"01/04/2020","920","995","1.200","870","997,80M","-7,07%"
"01/03/2020","990","1.175","1.225","610","1,54B","-14,29%"
"01/02/2020","1.155","1.200","1.360","1.085","833,01M","-5,71%"
"01/01/2020","1.225","1.555","1.595","1.225","1,28B","-21,22%"
"01/12/2019","1.555","1.225","1.715","1.225","1,53B","26,42%"
