"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","1.800","1.990","1.990","1.780","918,96M","-10,45%"
"01/10/2025","2.010","1.930","2.330","1.840","1,20B","4,15%"
"01/09/2025","1.930","2.170","2.220","1.820","1,02B","-12,27%"
"01/08/2025","2.200","2.320","2.490","2.200","544,86M","-5,17%"
"01/07/2025","2.320","2.410","2.440","2.150","605,02M","-2,93%"
"01/06/2025","2.390","2.430","2.630","2.140","581,66M","-1,65%"
"01/05/2025","2.430","2.180","2.640","2.080","897,89M","12,50%"
"01/04/2025","2.160","2.020","2.390","1.870","832,48M","5,37%"
"01/03/2025","2.050","2.240","2.490","1.730","948,00M","-6,82%"
"01/02/2025","2.200","2.870","3.080","2.080","1,08B","-23,34%"
"01/01/2025","2.870","2.900","2.930","2.700","332,18M","0,70%"
"01/12/2024","2.850","2.860","3.170","2.750","407,63M","0,00%"
"01/11/2024","2.850","3.320","3.330","2.810","560,54M","-14,16%"
"01/10/2024","3.320","3.200","3.650","3.070","542,06M","5,06%"
"01/09/2024","3.160","2.900","3.400","2.850","711,02M","8,97%"
"01/08/2024","2.900","2.840","2.920","2.670","469,02M","2,11%"
"01/07/2024","2.840","2.800","2.950","2.710","431,24M","3,27%"
"01/06/2024","2.750","2.690","2.840","2.650","342,42M","3,77%"
"01/05/2024","2.650","2.920","2.950","2.650","498,70M","-9,56%"
"01/04/2024","2.930","2.910","2.980","2.660","447,27M","0,69%"
"01/03/2024","2.910","2.750","2.940","2.700","679,12M","5,82%"
"01/02/2024","2.750","2.650","2.810","2.490","506,19M","3,77%"
"01/01/2024","2.650","2.930","2.940","2.570","546,75M","-9,56%"
"01/12/2023","2.930","2.900","2.950","2.530","488,91M","2,09%"
"01/11/2023","2.870","2.900","2.970","2.790","727,83M","-0,69%"
"01/10/2023","2.890","2.960","2.980","2.720","453,24M","-2,36%"
"01/09/2023","2.960","2.900","3.000","2.770","250,45M","2,07%"
"01/08/2023","2.900","2.750","3.030","2.730","434,45M","7,41%"
"01/07/2023","2.700","2.600","2.890","2.550","363,78M","4,65%"
"01/06/2023","2.580","2.680","2.810","2.530","484,53M","-2,27%"
"01/05/2023","2.640","2.900","3.030","2.640","532,02M","-8,97%"
"01/04/2023","2.900","2.920","2.940","2.650","280,33M","0,69%"
"01/03/2023","2.880","2.900","2.990","2.770","315,34M","-0,69%"
"01/02/2023","2.900","2.840","3.150","2.790","365,70M","2,47%"
"01/01/2023","2.830","2.660","2.890","2.610","404,64M","6,79%"
"01/12/2022","2.650","3.090","3.090","2.330","656,41M","-14,24%"
"01/11/2022","3.090","2.820","3.090","2.500","639,61M","9,57%"
"01/10/2022","2.820","2.300","2.840","2.290","613,32M","17,99%"
"01/09/2022","2.390","2.150","2.450","2.030","2,03B","9,63%"
"01/08/2022","2.180","1.890","2.180","1.785","1,23B","16,27%"
"01/07/2022","1.875","2.040","2.050","1.785","1,20B","-8,09%"
"01/06/2022","2.040","1.850","2.090","1.740","1,10B","12,09%"
"01/05/2022","1.820","1.680","1.845","1.430","3,12B","6,43%"
"01/04/2022","1.710","1.515","1.775","1.455","1,27B","12,50%"
"01/03/2022","1.520","1.100","1.530","1.020","819,40M","39,45%"
"01/02/2022","1.090","1.160","1.320","1.085","393,77M","-6,44%"
"01/01/2022","1.165","1.230","1.245","1.020","402,13M","-4,12%"
"01/12/2021","1.215","1.180","1.250","1.120","195,40M","2,97%"
"01/11/2021","1.180","1.200","1.320","1.145","311,22M","-1,26%"
"01/10/2021","1.195","1.380","1.380","1.170","335,79M","-13,41%"
"01/09/2021","1.380","1.350","1.435","1.280","271,66M","2,22%"
"01/08/2021","1.350","1.360","1.550","1.200","541,29M","0,00%"
"01/07/2021","1.350","1.265","1.430","1.190","1,06B","8,00%"
"01/06/2021","1.250","905","1.335","905","2,42B","38,12%"
"01/05/2021","905","950","985","870","102,99M","-4,74%"
"01/04/2021","950","900","1.025","865","199,74M","5,56%"
"01/03/2021","900","1.020","1.180","860","167,19M","-11,76%"
"01/02/2021","1.020","785","1.140","780","78,73M","30,77%"
"01/01/2021","780","810","850","740","30,22M","-2,50%"
"01/12/2020","800","710","885","700","82,34M","12,68%"
"01/11/2020","710","680","750","680","16,51M","4,41%"
"01/10/2020","680","670","700","655","4,42M","2,26%"
"01/09/2020","665","725","725","655","13,70M","-6,99%"
"01/08/2020","715","740","760","700","12,42M","-3,38%"
"01/07/2020","740","795","815","740","10,54M","-6,92%"
"01/06/2020","795","905","915","770","7,90M","-12,64%"
"01/05/2020","910","870","950","800","3,73M","4,60%"
"01/04/2020","870","800","870","710","3,06M","8,75%"
"01/03/2020","800","775","825","615","13,79M","3,23%"
"01/02/2020","775","810","880","770","8,85M","-3,13%"
"01/01/2020","800","870","890","800","28,51M","-9,09%"
"01/12/2019","880","850","890","820","21,47M","3,53%"
