"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","2.030","2.240","2.260","1.945","257,97M","-7,31%"
"01/10/2025","2.190","2.140","2.390","1.945","332,89M","2,82%"
"01/09/2025","2.130","2.140","2.310","1.920","174,42M","-6,17%"
"01/08/2025","2.270","1.870","2.440","1.815","382,88M","21,39%"
"01/07/2025","1.870","1.780","1.940","1.665","189,02M","5,35%"
"01/06/2025","1.775","1.830","1.895","1.585","135,10M","-3,01%"
"01/05/2025","1.830","1.800","2.100","1.800","202,44M","-1,08%"
"01/04/2025","1.850","1.250","2.030","1.235","143,31M","26,28%"
"01/03/2025","1.465","1.760","1.975","1.225","118,21M","-16,52%"
"01/02/2025","1.755","2.260","2.280","1.755","93,48M","-22,00%"
"01/01/2025","2.250","2.490","2.670","2.250","59,38M","-7,41%"
"01/12/2024","2.430","2.640","2.750","2.220","90,83M","-7,95%"
"01/11/2024","2.640","2.820","2.840","2.400","155,51M","-7,04%"
"01/10/2024","2.840","3.050","3.090","2.760","177,95M","-6,89%"
"01/09/2024","3.050","2.900","3.220","2.730","482,02M","6,27%"
"01/08/2024","2.870","2.730","3.080","2.620","340,03M","6,30%"
"01/07/2024","2.700","2.420","2.820","2.220","409,24M","12,03%"
"01/06/2024","2.410","2.420","2.450","1.895","192,70M","0,00%"
"01/05/2024","2.410","2.180","2.470","2.040","213,53M","12,09%"
"01/04/2024","2.150","2.670","2.680","2.040","160,11M","-19,48%"
"01/03/2024","2.670","2.660","2.930","2.560","219,90M","-1,48%"
"01/02/2024","2.710","3.220","3.330","2.500","290,79M","-15,58%"
"01/01/2024","3.210","2.920","3.700","2.870","450,10M","10,69%"
"01/12/2023","2.900","3.150","3.860","2.820","921,82M","-9,38%"
"01/11/2023","3.200","1.585","3.330","1.535","1,16B","103,17%"
"01/10/2023","1.575","2.040","2.070","1.530","361,10M","-22,03%"
"01/09/2023","2.020","2.330","2.470","2.000","298,78M","-13,30%"
"01/08/2023","2.330","2.970","3.010","2.280","329,33M","-19,93%"
"01/07/2023","2.910","3.190","3.520","2.890","363,56M","-8,49%"
"01/06/2023","3.180","2.400","3.330","2.400","558,96M","33,61%"
"01/05/2023","2.380","2.080","2.670","2.070","483,45M","14,98%"
"01/04/2023","2.070","2.470","2.520","1.960","281,14M","-14,46%"
"01/03/2023","2.420","2.620","2.900","2.110","929,64M","-3,59%"
"01/02/2023","2.510","3.210","3.790","2.430","984,99M","-21,81%"
"01/01/2023","3.210","3.750","3.850","2.770","407,97M","-13,71%"
"01/12/2022","3.720","4.720","4.780","3.290","373,32M","-18,95%"
"01/11/2022","4.590","5.100","6.300","4.550","339,69M","-10,00%"
"01/10/2022","5.100","6.600","6.950","4.380","409,38M","-22,73%"
"01/09/2022","6.600","8.425","8.575","6.450","233,44M","-21,66%"
"01/08/2022","8.425","10.600","11.100","8.050","253,79M","-20,33%"
"01/07/2022","10.575","9.100","11.050","7.425","425,45M","15,57%"
"01/06/2022","9.150","9.300","9.925","8.100","440,15M","-2,40%"
"01/05/2022","9.375","11.425","11.550","6.600","509,79M","-19,53%"
"01/04/2022","11.650","14.625","14.650","11.350","291,64M","-20,48%"
"01/03/2022","14.650","16.125","16.900","13.950","502,49M","-9,43%"
"01/02/2022","16.175","16.500","17.400","13.750","1,03B","-1,37%"
"01/01/2022","16.400","16.000","19.500","15.000","969,66M","2,50%"
"01/12/2021","16.000","15.825","17.875","15.000","566,30M","1,11%"
"01/11/2021","15.825","15.500","16.975","14.325","613,04M","2,10%"
"01/10/2021","15.500","15.100","15.625","11.800","557,95M","2,65%"
"01/09/2021","15.100","15.150","16.800","13.500","550,58M","-0,49%"
"01/08/2021","15.175","18.000","18.000","15.050","404,17M","-15,46%"
"01/07/2021","17.950","13.625","19.050","13.200","357,09M","31,74%"
"01/06/2021","13.625","12.100","15.000","11.800","561,95M","12,14%"
"01/05/2021","12.150","10.150","12.550","9.875","428,11M","19,70%"
"01/04/2021","10.150","9.725","11.650","9.725","134,88M","4,37%"
"01/03/2021","9.725","8.273","11.900","8.148","193,89M","17,26%"
"01/02/2021","8.293","5.598","9.309","5.391","180,76M","49,25%"
"01/01/2021","5.557","3.566","5.950","3.433","180,31M","55,81%"
"01/12/2020","3.566","2.405","4.039","2.364","80,05M","48,79%"
"01/11/2020","2.397","2.364","2.563","2.364","5,23M","1,40%"
"01/10/2020","2.364","2.364","2.380","2.148","4,43M","0,35%"
"01/09/2020","2.355","2.198","2.438","2.115","4,30M","7,98%"
"01/08/2020","2.181","2.322","2.488","1.990","3,36M","-6,07%"
"01/07/2020","2.322","1.493","2.820","1.484","29,24M","58,19%"
"01/06/2020","1.468","746","1.476","726","10,25M","102,29%"
"01/05/2020","726","705","755","705","1,81M","0,57%"
"01/04/2020","722","759","1.182","659","6,08M","18,37%"
"01/03/2020","610","381","610","257","2,77M","52,66%"
"01/02/2020","399","437","474","399","1,78M","-10,86%"
"01/01/2020","448","399","513","349","5,49M","15,81%"
"01/12/2019","387","237","430","206","9,38M","63,16%"
