"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","4.260","4.420","4.560","4.260","828,55M","-2,74%"
"01/10/2025","4.380","4.050","4.530","3.720","1,68B","6,83%"
"01/09/2025","4.100","4.170","4.600","4.020","1,28B","-6,39%"
"01/08/2025","4.380","4.050","4.540","3.990","1,06B","9,23%"
"01/07/2025","4.010","4.120","4.250","3.930","923,99M","-2,67%"
"01/06/2025","4.120","4.480","4.540","3.970","991,57M","-8,24%"
"01/05/2025","4.490","4.220","4.580","4.060","1,21B","7,42%"
"01/04/2025","4.180","3.680","4.550","3.610","1,73B","-1,42%"
"01/03/2025","4.240","4.180","4.700","3.630","1,96B","5,21%"
"01/02/2025","4.030","4.770","4.800","4.010","1,24B","-15,51%"
"01/01/2025","4.770","4.360","4.880","4.110","1,10B","9,66%"
"01/12/2024","4.350","4.980","5.175","4.260","1,00B","-12,65%"
"01/11/2024","4.980","5.250","5.450","4.710","897,62M","-5,14%"
"01/10/2024","5.250","5.375","5.750","5.100","1,07B","-1,87%"
"01/09/2024","5.350","5.350","5.850","5.300","1,20B","0,00%"
"01/08/2024","5.350","4.940","5.550","4.880","1,23B","7,65%"
"01/07/2024","4.970","4.690","5.150","4.630","1,26B","6,65%"
"01/06/2024","4.660","4.460","4.780","4.260","1,19B","5,91%"
"01/05/2024","4.400","5.200","5.275","4.370","1,54B","-16,19%"
"01/04/2024","5.250","5.900","5.900","5.050","1,28B","-11,02%"
"01/03/2024","5.900","5.925","6.250","5.725","964,65M","-1,67%"
"01/02/2024","6.000","5.750","6.225","5.650","963,62M","4,35%"
"01/01/2024","5.750","5.375","5.800","5.300","1,01B","6,98%"
"01/12/2023","5.375","5.300","5.425","5.050","830,96M","1,90%"
"01/11/2023","5.275","4.930","5.350","4.790","1,25B","10,13%"
"01/10/2023","4.790","5.163","5.425","4.720","1,16B","-7,22%"
"01/09/2023","5.163","4.600","5.213","4.588","1,41B","12,53%"
"01/08/2023","4.588","4.413","4.650","4.313","1,19B","3,38%"
"01/07/2023","4.438","4.600","4.625","4.400","1,13B","-3,01%"
"01/06/2023","4.575","4.525","4.650","4.463","719,56M","1,10%"
"01/05/2023","4.525","4.725","4.775","4.325","1,37B","-3,98%"
"01/04/2023","4.713","4.675","4.800","4.600","632,08M","0,80%"
"01/03/2023","4.675","4.388","4.875","4.375","1,59B","6,55%"
"01/02/2023","4.388","4.600","4.788","4.388","1,00B","-4,10%"
"01/01/2023","4.575","4.613","4.800","4.213","1,16B","-0,81%"
"01/12/2022","4.613","4.950","4.975","4.575","1,00B","-6,82%"
"01/11/2022","4.950","4.700","4.950","4.438","1,02B","5,32%"
"01/10/2022","4.700","4.488","4.838","4.175","1,08B","4,74%"
"01/09/2022","4.488","4.288","4.625","4.225","1,19B","5,28%"
"01/08/2022","4.263","4.050","4.363","3.938","1,16B","8,60%"
"01/07/2022","3.925","3.925","3.975","3.575","1,37B","0,00%"
"01/06/2022","3.925","4.525","4.588","3.925","1,49B","-14,44%"
"01/05/2022","4.588","4.500","4.688","4.025","1,66B","-0,54%"
"01/04/2022","4.613","4.125","4.950","4.038","1,52B","11,82%"
"01/03/2022","4.125","4.100","4.288","3.763","1,61B","3,13%"
"01/02/2022","4.000","3.663","4.000","3.613","1,43B","9,22%"
"01/01/2022","3.663","3.375","3.763","3.350","1,35B","8,52%"
"01/12/2021","3.375","3.400","3.538","3.275","900,47M","-0,74%"
"01/11/2021","3.400","3.513","3.638","3.363","1,34B","-2,86%"
"01/10/2021","3.500","2.688","3.788","2.663","2,52B","30,23%"
"01/09/2021","2.688","2.700","2.750","2.513","844,21M","-0,46%"
"01/08/2021","2.700","2.390","2.738","2.375","885,55M","12,97%"
"01/07/2021","2.390","2.315","2.625","2.280","1,13B","3,24%"
"01/06/2021","2.315","2.750","2.875","2.280","1,44B","-14,26%"
"01/05/2021","2.700","2.850","2.888","2.575","821,99M","-5,26%"
"01/04/2021","2.850","2.863","3.050","2.813","831,91M","-0,44%"
"01/03/2021","2.863","3.000","3.188","2.775","1,28B","-3,78%"
"01/02/2021","2.975","2.775","3.200","2.625","1,55B","7,21%"
"01/01/2021","2.775","3.125","3.338","2.725","1,87B","-10,12%"
"01/12/2020","3.088","3.038","3.375","2.963","1,81B","2,92%"
"01/11/2020","3.000","2.350","3.188","2.295","3,39B","26,58%"
"01/10/2020","2.370","2.245","2.475","2.190","1,46B","6,76%"
"01/09/2020","2.220","2.575","2.688","2.155","2,68B","-12,94%"
"01/08/2020","2.550","2.325","2.713","2.150","2,54B","10,87%"
"01/07/2020","2.300","2.300","2.430","2.255","2,09B","0,44%"
"01/06/2020","2.290","1.950","2.575","1.925","4,53B","19,58%"
"01/05/2020","1.915","2.000","2.015","1.635","2,07B","-6,59%"
"01/04/2020","2.050","1.915","2.325","1.735","1,95B","7,33%"
"01/03/2020","1.910","3.475","3.525","1.485","3,16B","-45,62%"
"01/02/2020","3.513","3.550","3.975","3.338","964,30M","-2,43%"
"01/01/2020","3.600","3.938","3.938","3.550","792,27M","-8,28%"
"01/12/2019","3.925","3.725","4.000","3.713","840,71M","4,67%"
