Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
11/1/2025,"3,680","4,030","4,050","3,680",3.74B,-7.54%
10/1/2025,"3,980","3,860","4,020","3,450",6.45B,2.05%
9/1/2025,"3,900","3,930","4,270","3,750",3.78B,-3.70%
8/1/2025,"4,050","3,800","4,270","3,690",3.45B,9.16%
7/1/2025,"3,710","3,780","3,960","3,640",3.45B,-0.80%
6/1/2025,"3,740","4,360","4,390","3,660",4.36B,-15.96%
5/1/2025,"4,450","3,920","4,450","3,760",4.10B,15.58%
4/1/2025,"3,850","3,460","3,930","3,450",4.30B,-4.94%
3/1/2025,"4,050","3,520","4,050","3,470",6.76B,20.54%
2/1/2025,"3,360","4,200","4,300","3,360",6.71B,-20.38%
1/1/2025,"4,220","4,100","4,380","3,800",4.35B,3.43%
12/1/2024,"4,080","4,270","4,430","4,050",4.63B,-4.00%
11/1/2024,"4,250","4,770","4,820","4,250",5.51B,-11.46%
10/1/2024,"4,800","4,970","5,075","4,630",5.30B,-3.03%
9/1/2024,"4,950","5,150","5,575","4,950",5.48B,-3.88%
8/1/2024,"5,150","4,710","5,325","4,510",4.96B,10.28%
7/1/2024,"4,670","4,630","4,980","4,560",4.96B,1.52%
6/1/2024,"4,600","4,430","4,640","4,090",5.80B,5.99%
5/1/2024,"4,340","4,910","5,050","4,310",6.71B,-12.15%
4/1/2024,"4,940","6,000","6,025","4,680",6.25B,-18.35%
3/1/2024,"6,050","6,175","6,450","5,950",2.55B,-1.22%
2/1/2024,"6,125","5,775","6,375","5,725",2.70B,7.46%
1/1/2024,"5,700","5,650","5,900","5,400",2.67B,-0.44%
12/1/2023,"5,725","5,275","5,750","5,275",2.64B,8.53%
11/1/2023,"5,275","4,920","5,450","4,830",2.73B,6.35%
10/1/2023,"4,960","5,250","5,375","4,920",2.83B,-5.07%
9/1/2023,"5,225","5,600","5,650","5,175",2.14B,-5.86%
8/1/2023,"5,550","5,650","5,750","5,450",2.30B,-1.77%
7/1/2023,"5,650","5,500","5,750","5,375",2.27B,4.15%
6/1/2023,"5,425","5,600","5,600","5,350",1.84B,-2.69%
5/1/2023,"5,575","5,175","5,625","5,025",3.14B,9.31%
4/1/2023,"5,100","4,770","5,275","4,760",1.92B,7.82%
3/1/2023,"4,730","4,730","4,920","4,640",2.71B,1.28%
2/1/2023,"4,670","4,630","4,900","4,600",2.61B,1.97%
1/1/2023,"4,580","4,910","4,920","4,360",3.40B,-7.29%
12/1/2022,"4,940","5,000","5,025","4,710",3.09B,-0.80%
11/1/2022,"4,980","4,690","4,980","4,490",3.45B,7.10%
10/1/2022,"4,650","4,500","4,680","4,260",3.44B,3.56%
9/1/2022,"4,490","4,320","4,700","4,310",4.05B,3.46%
8/1/2022,"4,340","4,390","4,470","4,220",3.04B,-0.46%
7/1/2022,"4,360","4,150","4,430","3,960",2.88B,5.06%
6/1/2022,"4,150","4,540","4,600","4,120",3.32B,-10.37%
5/1/2022,"4,630","4,750","4,760","4,250",3.67B,-4.93%
4/1/2022,"4,870","4,690","4,980","4,530",3.03B,4.51%
3/1/2022,"4,660","4,850","4,860","4,370",4.61B,2.42%
2/1/2022,"4,550","4,120","4,550","4,060",3.08B,11.79%
1/1/2022,"4,070","4,120","4,240","4,000",2.16B,-0.97%
12/1/2021,"4,110","4,090","4,250","4,050",2.37B,0.49%
11/1/2021,"4,090","4,330","4,340","4,080",2.92B,-3.76%
10/1/2021,"4,250","3,850","4,460","3,830",4.75B,10.39%
9/1/2021,"3,850","3,834","3,883","3,500",6.03B,0.41%
8/1/2021,"3,834","3,678","3,990","3,610",2.30B,5.93%
7/1/2021,"3,620","3,844","3,932","3,610",2.19B,-5.84%
6/1/2021,"3,844","4,244","4,283","3,766",3.41B,-7.51%
5/1/2021,"4,156","3,961","4,176","3,727",2.84B,5.19%
4/1/2021,"3,951","4,244","4,351","3,951",2.82B,-7.95%
3/1/2021,"4,293","4,683","4,761","4,156",2.53B,-6.58%
2/1/2021,"4,595","4,078","4,751","3,863",2.78B,12.68%
1/1/2021,"4,078","4,049","4,829","4,049",3.69B,0.24%
12/1/2020,"4,068","4,029","4,341","3,854",2.93B,1.95%
11/1/2020,"3,990","3,278","4,283","3,210",4.99B,21.73%
10/1/2020,"3,278","3,015","3,317","2,985",2.85B,10.53%
9/1/2020,"2,966","3,463","3,600","2,927",4.10B,-13.39%
8/1/2020,"3,424","3,093","3,727","2,898",3.53B,11.08%
7/1/2020,"3,083","2,966","3,171","2,956",3.19B,4.29%
6/1/2020,"2,956","2,878","3,288","2,732",5.71B,2.71%
5/1/2020,"2,878","2,605","2,878","2,107",6.39B,8.06%
4/1/2020,"2,663","2,937","3,161","2,498",5.83B,-9.60%
3/1/2020,"2,946","4,088","4,195","2,381",5.52B,-27.92%
2/1/2020,"4,088","4,351","4,576","3,815",2.50B,-6.05%
1/1/2020,"4,351","4,293","4,644","4,215",2.41B,1.37%
12/1/2019,"4,293","4,049","4,361","4,020",1.84B,7.58%
