"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","3.580","3.490","3.880","3.350","2,46B","3,77%"
"01/10/2025","3.450","3.750","4.530","3.120","3,31B","-8,00%"
"01/09/2025","3.750","2.100","3.980","2.050","4,46B","71,23%"
"01/08/2025","2.190","2.800","2.850","2.090","2,83B","-16,73%"
"01/07/2025","2.630","1.655","2.730","1.525","5,57B","58,43%"
"01/06/2025","1.660","1.270","1.680","1.200","5,43B","31,75%"
"01/05/2025","1.260","745","1.375","740","4,49B","69,13%"
"01/04/2025","745","605","795","600","1,10B","4,93%"
"01/03/2025","710","795","840","585","1,55B","-9,55%"
"01/02/2025","785","920","980","760","1,56B","-14,67%"
"01/01/2025","920","925","1.110","890","2,11B","0,00%"
"01/12/2024","920","855","975","805","2,12B","7,60%"
"01/11/2024","855","995","1.005","785","2,73B","-14,07%"
"01/10/2024","995","1.055","1.075","980","1,65B","-5,24%"
"01/09/2024","1.050","1.140","1.240","1.050","3,41B","-8,30%"
"01/08/2024","1.145","1.105","1.230","1.000","3,27B","5,05%"
"01/07/2024","1.090","1.000","1.300","980","5,24B","10,10%"
"01/06/2024","990","1.063","1.098","899","2,81B","-6,89%"
"01/05/2024","1.063","1.013","1.458","958","5,36B","4,41%"
"01/04/2024","1.018","963","1.043","874","1,41B","7,94%"
"01/03/2024","943","978","1.058","924","1,57B","-3,08%"
"01/02/2024","973","1.068","1.078","943","1,67B","-8,02%"
"01/01/2024","1.058","1.333","1.433","998","3,88B","-20,30%"
"01/12/2023","1.328","1.048","1.947","1.003","7,97B","27,27%"
"01/11/2023","1.043","1.133","1.278","943","4,46B","-7,11%"
"01/10/2023","1.123","1.303","1.408","948","3,19B","-13,46%"
"01/09/2023","1.298","1.083","1.528","1.083","2,83B","21,50%"
"01/08/2023","1.068","774","1.183","764","1,81B","38,06%"
"01/07/2023","774","754","784","744","253,63M","4,03%"
"01/06/2023","744","759","784","709","686,47M","-1,97%"
"01/05/2023","759","834","844","759","714,58M","-8,98%"
"01/04/2023","834","814","834","759","531,68M","1,21%"
"01/03/2023","824","943","943","749","1,51B","-11,76%"
"01/02/2023","934","824","993","814","1,76B","13,33%"
"01/01/2023","824","759","869","749","1,53B","9,27%"
"01/12/2022","754","795","800","736","1,47B","-4,03%"
"01/11/2022","785","820","840","780","1,64B","-4,24%"
"01/10/2022","820","785","850","761","1,69B","3,77%"
"01/09/2022","790","820","880","775","2,14B","-3,05%"
"01/08/2022","815","895","1.059","805","1,36B","-8,89%"
"01/07/2022","895","746","949","696","1,39B","19,21%"
"01/06/2022","751","835","850","686","855,33M","-9,58%"
"01/05/2022","830","845","855","785","624,94M","-1,76%"
"01/04/2022","845","900","920","845","671,88M","-6,08%"
"01/03/2022","900","890","930","820","1,05B","1,69%"
"01/02/2022","885","885","1.089","875","1,13B","0,00%"
"01/01/2022","885","850","905","815","677,41M","4,09%"
"01/12/2021","850","925","945","850","875,02M","-7,07%"
"01/11/2021","915","935","1.094","905","1,28B","-1,60%"
"01/10/2021","930","959","1.004","900","1,13B","-3,11%"
"01/09/2021","959","1.064","1.069","945","863,89M","-9,39%"
"01/08/2021","1.059","979","1.158","964","1,34B","9,79%"
"01/07/2021","964","850","1.009","795","935,51M","13,45%"
"01/06/2021","850","895","949","800","1,01B","-5,00%"
"01/05/2021","895","989","1.029","835","804,52M","-10,00%"
"01/04/2021","994","954","1.034","880","870,73M","4,17%"
"01/03/2021","954","1.079","1.114","935","935,33M","-12,73%"
"01/02/2021","1.094","880","1.218","845","1,47B","24,29%"
"01/01/2021","880","1.094","1.188","865","1,01B","-19,55%"
"01/12/2020","1.094","1.044","1.288","1.009","1,50B","4,76%"
"01/11/2020","1.044","885","1.153","865","2,18B","16,67%"
"01/10/2020","895","795","974","771","2,09B","13,92%"
"01/09/2020","785","835","860","631","2,13B","-5,95%"
"01/08/2020","835","945","974","835","1,62B","-11,58%"
"01/07/2020","945","1.158","1.302","880","1,55B","-18,10%"
"01/06/2020","1.153","1.347","1.387","1.114","1,05B","-14,07%"
"01/05/2020","1.342","1.442","1.476","1.114","1,13B","-6,90%"
"01/04/2020","1.442","716","1.471","701","2,37B","100,00%"
"01/03/2020","721","999","1.059","424","1,58B","-26,40%"
"01/02/2020","979","1.292","1.292","880","878,91M","-24,52%"
"01/01/2020","1.297","1.501","1.506","1.178","1,33B","-13,58%"
"01/12/2019","1.501","1.362","1.516","1.312","1,32B","11,03%"
