"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","4.630","4.690","4.880","4.590","203,34M","-0,86%"
"01/10/2025","4.670","4.660","5.375","4.640","149,07M","0,21%"
"01/09/2025","4.660","4.240","5.075","4.090","145,73M","9,13%"
"01/08/2025","4.270","4.900","4.930","4.270","179,60M","-13,39%"
"01/07/2025","4.930","4.800","5.100","4.550","93,35M","4,89%"
"01/06/2025","4.700","4.840","5.000","4.380","113,45M","-2,89%"
"01/05/2025","4.840","4.730","4.970","4.580","117,67M","2,33%"
"01/04/2025","4.730","4.080","4.730","3.900","173,58M","7,74%"
"01/03/2025","4.390","4.230","4.790","4.170","86,66M","4,77%"
"01/02/2025","4.190","4.670","4.730","4.190","60,06M","-10,28%"
"01/01/2025","4.670","4.900","4.900","4.500","68,30M","-1,89%"
"01/12/2024","4.760","4.670","5.200","4.600","84,78M","1,93%"
"01/11/2024","4.670","5.200","5.200","4.590","102,95M","-11,05%"
"01/10/2024","5.250","4.710","5.300","4.700","143,56M","11,70%"
"01/09/2024","4.700","4.860","5.075","4.700","192,98M","-3,29%"
"01/08/2024","4.860","5.200","5.325","4.860","185,68M","-6,99%"
"01/07/2024","5.225","5.100","5.650","5.025","89,46M","2,96%"
"01/06/2024","5.075","5.150","5.375","4.760","93,16M","-2,40%"
"01/05/2024","5.200","5.025","5.425","4.860","133,77M","5,05%"
"01/04/2024","4.950","5.250","5.400","4.820","101,68M","-5,71%"
"01/03/2024","5.250","4.830","5.325","4.830","170,32M","8,47%"
"01/02/2024","4.840","4.480","4.930","4.410","140,35M","8,04%"
"01/01/2024","4.480","5.050","5.050","4.480","153,39M","-10,85%"
"01/12/2023","5.025","5.075","5.175","4.950","116,64M","-3,37%"
"01/11/2023","5.200","5.600","5.775","5.000","188,43M","-10,34%"
"01/10/2023","5.800","5.425","5.800","4.930","141,39M","6,91%"
"01/09/2023","5.425","5.175","5.500","4.900","132,69M","4,83%"
"01/08/2023","5.175","5.175","5.400","5.025","137,13M","0,00%"
"01/07/2023","5.175","5.325","5.600","4.880","150,58M","-1,90%"
"01/06/2023","5.275","4.970","5.400","4.820","136,48M","6,57%"
"01/05/2023","4.950","4.600","5.275","4.550","251,36M","7,84%"
"01/04/2023","4.590","4.910","4.950","4.330","154,58M","-8,02%"
"01/03/2023","4.990","5.375","5.625","4.800","220,37M","-7,16%"
"01/02/2023","5.375","5.825","5.975","5.375","184,59M","-7,73%"
"01/01/2023","5.825","5.650","6.275","5.625","144,56M","3,10%"
"01/12/2022","5.650","5.775","6.025","5.525","139,02M","-0,88%"
"01/11/2022","5.700","5.600","5.925","5.575","181,96M","2,24%"
"01/10/2022","5.575","5.625","5.750","5.250","130,81M","-1,33%"
"01/09/2022","5.650","5.875","5.950","5.500","138,94M","-3,83%"
"01/08/2022","5.875","5.600","6.000","5.550","147,23M","4,91%"
"01/07/2022","5.600","6.000","6.050","5.450","149,95M","-6,67%"
"01/06/2022","6.000","5.400","6.000","4.910","268,04M","11,11%"
"01/05/2022","5.400","5.150","5.400","4.800","183,26M","4,85%"
"01/04/2022","5.150","5.650","5.750","4.890","207,55M","-8,85%"
"01/03/2022","5.650","5.800","5.900","5.350","199,50M","-2,59%"
"01/02/2022","5.800","6.200","6.250","5.750","133,00M","-7,94%"
"01/01/2022","6.300","5.950","6.525","5.950","113,21M","5,88%"
"01/12/2021","5.950","6.050","6.100","5.750","104,23M","-2,06%"
"01/11/2021","6.075","6.200","6.275","5.700","175,69M","-2,02%"
"01/10/2021","6.200","6.400","6.550","6.150","171,59M","-3,50%"
"01/09/2021","6.425","6.400","6.750","6.100","110,06M","0,39%"
"01/08/2021","6.400","6.175","6.700","6.050","98,46M","4,49%"
"01/07/2021","6.125","6.300","6.700","6.125","100,51M","-2,00%"
"01/06/2021","6.250","6.750","7.350","6.025","131,58M","-7,41%"
"01/05/2021","6.750","7.000","7.100","6.025","106,38M","-4,26%"
"01/04/2021","7.050","6.900","7.850","6.775","145,27M","0,71%"
"01/03/2021","7.000","6.300","7.375","6.125","223,39M","13,82%"
"01/02/2021","6.150","5.800","6.350","5.625","133,02M","6,96%"
"01/01/2021","5.750","6.525","6.950","5.750","205,26M","-11,88%"
"01/12/2020","6.525","6.200","7.100","6.100","206,48M","7,41%"
"01/11/2020","6.075","5.825","6.800","5.700","176,68M","3,85%"
"01/10/2020","5.850","5.750","6.025","5.625","73,74M","3,08%"
"01/09/2020","5.675","6.200","6.350","5.225","152,24M","-9,92%"
"01/08/2020","6.300","6.150","6.550","5.725","172,47M","1,20%"
"01/07/2020","6.225","5.600","6.600","5.525","256,65M","11,66%"
"01/06/2020","5.575","5.775","6.350","5.300","171,73M","-3,46%"
"01/05/2020","5.775","4.590","5.775","4.250","201,74M","25,54%"
"01/04/2020","4.600","4.950","5.250","3.840","292,18M","-6,88%"
"01/03/2020","4.940","5.700","6.675","3.800","190,86M","-13,33%"
"01/02/2020","5.700","6.500","6.900","5.500","103,19M","-14,29%"
"01/01/2020","6.650","6.600","7.450","6.500","131,56M","2,31%"
"01/12/2019","6.500","6.800","7.225","6.500","119,77M","-3,35%"
