"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","505","515","570","500","953,32M","-0,98%"
"01/10/2025","510","494","535","476","726,42M","3,24%"
"01/09/2025","494","486","510","462","363,66M","0,41%"
"01/08/2025","492","486","535","474","603,27M","0,82%"
"01/07/2025","488","468","515","460","681,75M","4,27%"
"01/06/2025","468","492","550","442","1,77B","-4,49%"
"01/05/2025","490","466","540","452","951,89M","6,06%"
"01/04/2025","462","380","472","360","327,62M","9,48%"
"01/03/2025","422","388","422","370","266,25M","9,90%"
"01/02/2025","384","452","458","376","273,47M","-14,67%"
"01/01/2025","450","432","458","432","196,71M","4,17%"
"01/12/2024","432","442","476","424","241,63M","-2,26%"
"01/11/2024","442","478","480","436","438,75M","-7,53%"
"01/10/2024","478","476","535","460","2,00B","0,84%"
"01/09/2024","474","480","494","462","610,51M","-1,25%"
"01/08/2024","480","515","525","460","1,18B","-5,88%"
"01/07/2024","510","444","545","430","1,08B","14,86%"
"01/06/2024","444","406","452","392","426,20M","9,36%"
"01/05/2024","406","428","464","404","757,68M","-5,14%"
"01/04/2024","428","388","428","380","792,60M","10,88%"
"01/03/2024","386","410","410","374","610,13M","-4,93%"
"01/02/2024","406","404","416","394","318,88M","1,00%"
"01/01/2024","402","388","422","386","547,72M","3,61%"
"01/12/2023","388","416","416","370","461,87M","-6,73%"
"01/11/2023","416","434","434","402","441,22M","-3,70%"
"01/10/2023","432","418","460","382","968,03M","3,35%"
"01/09/2023","418","392","438","392","1,19B","7,18%"
"01/08/2023","390","390","416","374","866,06M","0,00%"
"01/07/2023","390","334","394","334","975,91M","16,77%"
"01/06/2023","334","338","348","320","681,16M","1,21%"
"01/05/2023","330","326","338","312","622,27M","2,48%"
"01/04/2023","322","322","334","304","506,16M","3,21%"
"01/03/2023","312","308","340","292","734,92M","1,30%"
"01/02/2023","308","312","324","304","379,79M","-1,28%"
"01/01/2023","312","312","326","286","583,63M","0,00%"
"01/12/2022","312","332","340","310","602,09M","-4,88%"
"01/11/2022","328","376","400","318","3,07B","-12,77%"
"01/10/2022","376","308","378","306","1,84B","22,08%"
"01/09/2022","308","318","366","300","2,34B","-3,14%"
"01/08/2022","318","302","342","294","1,34B","5,30%"
"01/07/2022","302","300","310","280","497,30M","0,00%"
"01/06/2022","302","310","340","288","1,68B","-1,95%"
"01/05/2022","308","294","316","274","682,46M","5,48%"
"01/04/2022","292","296","304","280","742,50M","-0,68%"
"01/03/2022","294","316","360","272","2,56B","-5,77%"
"01/02/2022","312","276","342","272","2,10B","13,04%"
"01/01/2022","276","276","282","250","374,53M","0,00%"
"01/12/2021","276","278","296","266","383,34M","-0,72%"
"01/11/2021","278","308","316","274","549,26M","-8,55%"
"01/10/2021","304","306","342","298","1,76B","-0,65%"
"01/09/2021","306","260","314","258","2,18B","17,69%"
"01/08/2021","260","264","270","240","557,87M","-0,76%"
"01/07/2021","262","266","288","254","964,76M","-1,50%"
"01/06/2021","266","304","338","266","925,99M","-12,50%"
"01/05/2021","304","356","356","294","676,74M","-14,61%"
"01/04/2021","356","346","358","318","1,05B","3,49%"
"01/03/2021","344","402","408","338","2,23B","-14,43%"
"01/02/2021","402","360","428","340","5,14B","12,29%"
"01/01/2021","358","350","525","332","7,38B","1,70%"
"01/12/2020","352","298","392","294","4,75B","19,73%"
"01/11/2020","294","210","328","206","2,46B","38,68%"
"01/10/2020","212","195","226","194","474,41M","9,28%"
"01/09/2020","194","244","252","192","838,72M","-20,49%"
"01/08/2020","244","228","260","214","1,38B","7,02%"
"01/07/2020","228","222","252","218","1,53B","3,64%"
"01/06/2020","220","202","244","197","1,71B","11,68%"
"01/05/2020","197","196","226","189","768,36M","0,51%"
"01/04/2020","196","155","230","139","1,82B","29,80%"
"01/03/2020","151","210","244","124","691,54M","-27,40%"
"01/02/2020","208","272","274","200","580,82M","-23,53%"
"01/01/2020","272","306","338","270","659,81M","-11,11%"
"01/12/2019","306","270","322","270","394,19M","12,50%"
