"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","414","426","452","400","1,12B","-2,36%"
"01/10/2025","424","434","446","394","1,41B","-1,85%"
"01/09/2025","432","430","464","414","1,04B","-1,82%"
"01/08/2025","440","484","486","430","1,77B","-9,47%"
"01/07/2025","486","535","585","482","1,15B","-8,30%"
"01/06/2025","530","555","585","480","1,23B","-4,50%"
"01/05/2025","555","450","590","446","2,33B","19,61%"
"01/04/2025","464","344","474","336","966,58M","14,85%"
"01/03/2025","404","372","442","352","1,25B","10,99%"
"01/02/2025","364","380","410","312","1,93B","-5,21%"
"01/01/2025","384","408","436","364","475,86M","-4,95%"
"01/12/2024","404","416","428","386","230,47M","-2,42%"
"01/11/2024","414","450","460","412","468,60M","-8,00%"
"01/10/2024","450","452","476","422","913,39M","-0,88%"
"01/09/2024","454","422","464","414","683,01M","7,58%"
"01/08/2024","422","426","448","390","538,89M","-0,94%"
"01/07/2024","426","382","430","374","481,89M","12,70%"
"01/06/2024","378","400","424","370","266,60M","-5,50%"
"01/05/2024","400","404","426","392","220,97M","-0,99%"
"01/04/2024","404","430","450","388","438,24M","-6,05%"
"01/03/2024","430","474","484","404","717,67M","-9,28%"
"01/02/2024","474","412","486","404","819,59M","15,61%"
"01/01/2024","410","426","442","402","517,56M","-3,76%"
"01/12/2023","426","360","426","332","1,02B","18,99%"
"01/11/2023","358","394","394","326","1,05B","-10,50%"
"01/10/2023","400","452","454","398","674,96M","-11,50%"
"01/09/2023","452","486","494","440","816,92M","-7,00%"
"01/08/2023","486","505","545","478","1,64B","-2,80%"
"01/07/2023","500","480","515","472","1,41B","5,04%"
"01/06/2023","476","486","510","450","755,95M","-1,65%"
"01/05/2023","484","496","520","432","1,14B","-2,42%"
"01/04/2023","496","525","560","486","678,64M","-4,62%"
"01/03/2023","520","515","535","458","941,94M","0,97%"
"01/02/2023","515","420","580","418","2,08B","22,62%"
"01/01/2023","420","392","434","378","781,77M","7,14%"
"01/12/2022","392","406","410","376","447,02M","-3,45%"
"01/11/2022","406","434","434","392","540,51M","-5,58%"
"01/10/2022","430","412","442","400","525,12M","3,86%"
"01/09/2022","414","488","488","410","1,33B","-15,16%"
"01/08/2022","488","498","520","486","799,63M","-2,01%"
"01/07/2022","498","520","525","486","460,78M","-5,14%"
"01/06/2022","525","530","540","488","754,19M","-1,87%"
"01/05/2022","535","515","535","482","630,19M","1,90%"
"01/04/2022","525","580","610","496","1,51B","-9,48%"
"01/03/2022","580","565","595","520","1,06B","4,50%"
"01/02/2022","555","555","585","535","809,57M","0,91%"
"01/01/2022","550","600","605","520","839,09M","-8,33%"
"01/12/2021","600","620","630","585","932,53M","-3,23%"
"01/11/2021","620","660","685","595","1,88B","-4,62%"
"01/10/2021","650","595","675","575","2,86B","7,44%"
"01/09/2021","605","605","635","560","2,10B","0,00%"
"01/08/2021","605","665","685","550","1,65B","-8,33%"
"01/07/2021","660","690","695","550","2,04B","-4,35%"
"01/06/2021","690","605","725","580","2,71B","15,00%"
"01/05/2021","600","605","645","560","1,62B","-1,64%"
"01/04/2021","610","510","660","496","3,11B","20,79%"
"01/03/2021","505","528","582","484","2,75B","-3,99%"
"01/02/2021","526","554","606","510","1,99B","-5,05%"
"01/01/2021","554","450","572","424","3,05B","25,91%"
"01/12/2020","440","345","478","337","4,45B","27,91%"
"01/11/2020","344","365","380","333","2,36B","-1,43%"
"01/10/2020","349","312","356","289","1,13B","12,94%"
"01/09/2020","309","344","352","288","1,99B","-10,17%"
"01/08/2020","344","297","361","274","2,44B","17,01%"
"01/07/2020","294","246","314","246","3,13B","17,13%"
"01/06/2020","251","252","280","233","1,77B","0,00%"
"01/05/2020","251","245","268","215","1,55B","-0,40%"
"01/04/2020","252","190","262","171","3,56B","34,76%"
"01/03/2020","187","328","361","161","1,85B","-42,28%"
"01/02/2020","324","313","377","300","1,59B","1,89%"
"01/01/2020","318","362","369","316","1,63B","-11,42%"
"01/12/2019","359","268","369","268","2,37B","33,96%"
