"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","4.570","4.650","4.680","4.550","3,12M","-1,72%"
"01/10/2025","4.650","4.770","4.770","4.480","6,22M","-2,52%"
"01/09/2025","4.770","5.475","5.600","4.670","20,54M","-15,20%"
"01/08/2025","5.625","5.375","5.700","5.325","7,51M","4,65%"
"01/07/2025","5.375","4.950","5.475","4.900","7,62M","8,59%"
"01/06/2025","4.950","5.050","5.100","4.800","4,09M","-1,98%"
"01/05/2025","5.050","4.710","5.200","4.680","4,34M","7,22%"
"01/04/2025","4.710","4.200","4.770","3.920","4,19M","11,88%"
"01/03/2025","4.210","4.020","4.500","4.000","3,30M","4,73%"
"01/02/2025","4.020","4.810","4.820","4.000","4,78M","-16,60%"
"01/01/2025","4.820","4.810","4.950","4.710","3,81M","0,21%"
"01/12/2024","4.810","4.750","5.100","4.580","7,93M","1,26%"
"01/11/2024","4.750","5.550","5.550","4.730","17,69M","-14,41%"
"01/10/2024","5.550","6.525","6.550","5.475","22,29M","-14,94%"
"01/09/2024","6.525","6.500","6.800","6.475","22,40M","0,77%"
"01/08/2024","6.475","6.650","6.650","5.975","18,75M","-3,36%"
"01/07/2024","6.700","6.200","6.750","6.150","19,91M","8,50%"
"01/06/2024","6.175","6.050","6.300","5.975","8,15M","2,07%"
"01/05/2024","6.050","5.925","6.125","5.900","5,83M","2,54%"
"01/04/2024","5.900","6.250","6.275","5.875","6,56M","-5,60%"
"01/03/2024","6.250","5.925","6.400","5.875","7,23M","5,93%"
"01/02/2024","5.900","5.750","6.150","5.725","5,59M","2,61%"
"01/01/2024","5.750","5.400","6.050","5.375","8,18M","6,98%"
"01/12/2023","5.375","5.425","5.475","5.300","4,98M","-0,92%"
"01/11/2023","5.425","5.550","5.650","5.325","7,99M","-2,25%"
"01/10/2023","5.550","6.625","6.825","5.200","24,78M","-16,23%"
"01/09/2023","6.625","6.575","6.950","6.450","28,45M","0,76%"
"01/08/2023","6.575","6.700","6.800","6.375","7,37M","-1,87%"
"01/07/2023","6.700","5.800","6.725","5.800","9,30M","15,52%"
"01/06/2023","5.800","5.350","5.825","5.300","3,29M","8,41%"
"01/05/2023","5.350","5.700","5.900","5.325","4,90M","-6,14%"
"01/04/2023","5.700","5.225","5.725","5.125","3,09M","10,14%"
"01/03/2023","5.175","5.225","5.275","4.990","3,70M","-0,96%"
"01/02/2023","5.225","5.325","5.350","5.200","2,73M","-1,88%"
"01/01/2023","5.325","5.275","5.425","5.150","4,21M","0,95%"
"01/12/2022","5.275","5.500","5.550","5.150","4,49M","-4,09%"
"01/11/2022","5.500","5.875","5.875","5.300","5,63M","-5,98%"
"01/10/2022","5.850","6.050","6.350","5.550","12,66M","-10,00%"
"01/09/2022","6.500","6.350","7.650","6.325","33,64M","2,77%"
"01/08/2022","6.325","6.200","6.500","6.100","9,67M","2,85%"
"01/07/2022","6.150","6.000","6.400","5.600","8,85M","3,80%"
"01/06/2022","5.925","6.350","6.650","5.900","15,43M","-6,69%"
"01/05/2022","6.350","6.075","6.450","5.925","6,39M","4,53%"
"01/04/2022","6.075","6.150","6.500","5.800","6,12M","-1,22%"
"01/03/2022","6.150","5.000","6.200","4.990","4,68M","23,25%"
"01/02/2022","4.990","4.770","5.250","4.740","5,01M","4,61%"
"01/01/2022","4.770","4.600","4.870","4.520","3,08M","3,70%"
"01/12/2021","4.600","4.600","4.840","4.520","3,94M","0,00%"
"01/11/2021","4.600","4.050","4.640","4.040","8,28M","13,58%"
"01/10/2021","4.050","3.970","4.290","3.700","13,78M","2,02%"
"01/09/2021","3.970","3.650","5.325","3.620","29,83M","9,07%"
"01/08/2021","3.640","3.480","3.800","3.470","5,75M","4,90%"
"01/07/2021","3.470","3.560","3.580","3.440","3,95M","-2,53%"
"01/06/2021","3.560","3.650","3.650","3.500","2,60M","-0,84%"
"01/05/2021","3.590","3.510","3.690","3.460","2,66M","2,28%"
"01/04/2021","3.510","3.500","3.590","3.430","1,69M","0,86%"
"01/03/2021","3.480","3.430","3.740","3.420","2,95M","1,75%"
"01/02/2021","3.420","3.280","3.490","3.230","6,48M","4,59%"
"01/01/2021","3.270","3.290","3.700","3.240","8,77M","-0,61%"
"01/12/2020","3.290","3.330","3.580","3.180","6,96M","-1,20%"
"01/11/2020","3.330","3.070","3.380","2.930","11,31M","9,54%"
"01/10/2020","3.040","2.950","3.190","2.910","5,59M","-2,56%"
"01/09/2020","3.120","3.580","4.140","3.120","23,09M","-12,85%"
"01/08/2020","3.580","3.370","3.740","3.140","3,90M","6,23%"
"01/07/2020","3.370","3.190","3.800","3.180","2,22M","6,31%"
"01/06/2020","3.170","2.890","3.260","2.870","6,20M","11,23%"
"01/05/2020","2.850","2.600","2.900","2.450","16,65M","9,62%"
"01/04/2020","2.600","2.260","2.690","2.200","10,05M","15,04%"
"01/03/2020","2.260","2.990","3.150","1.890","5,40M","-24,41%"
"01/02/2020","2.990","3.080","3.250","2.920","4,53M","-3,55%"
"01/01/2020","3.100","3.480","3.500","3.100","2,81M","-10,66%"
"01/12/2019","3.470","3.600","3.790","3.400","1,87M","-3,34%"
