"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","8.450","8.700","8.725","8.200","437,86M","-2,87%"
"01/10/2025","8.700","9.550","9.625","8.425","182,13M","-8,18%"
"01/09/2025","9.475","8.800","10.050","8.650","95,30M","5,57%"
"01/08/2025","8.975","9.900","9.950","8.975","171,67M","-8,42%"
"01/07/2025","9.800","10.500","10.850","9.800","155,79M","-6,67%"
"01/06/2025","10.500","10.825","10.900","9.950","102,72M","-3,67%"
"01/05/2025","10.900","11.350","11.600","10.550","83,87M","-3,96%"
"01/04/2025","11.350","10.000","11.350","9.450","77,24M","11,55%"
"01/03/2025","10.175","10.450","11.075","9.925","70,82M","-2,63%"
"01/02/2025","10.450","11.450","12.000","10.200","96,80M","-9,13%"
"01/01/2025","11.500","11.375","11.850","10.500","62,98M","1,10%"
"01/12/2024","11.375","11.700","12.000","10.925","78,40M","-4,41%"
"01/11/2024","11.900","12.425","12.600","11.450","91,04M","-3,45%"
"01/10/2024","12.325","12.325","12.850","11.725","98,29M","0,00%"
"01/09/2024","12.325","11.400","12.875","11.075","129,88M","7,41%"
"01/08/2024","11.475","11.000","11.575","10.675","128,22M","5,03%"
"01/07/2024","10.925","10.300","11.000","10.100","99,40M","6,07%"
"01/06/2024","10.300","9.875","10.750","9.875","86,83M","5,64%"
"01/05/2024","9.750","10.875","11.150","9.750","91,81M","-10,34%"
"01/04/2024","10.875","11.375","11.375","9.600","127,27M","-6,25%"
"01/03/2024","11.600","11.475","11.625","10.350","158,32M","0,43%"
"01/02/2024","11.550","11.625","11.775","11.325","83,36M","-1,91%"
"01/01/2024","11.775","10.575","11.825","10.550","106,91M","11,35%"
"01/12/2023","10.575","10.675","10.975","10.350","81,37M","-8,44%"
"01/11/2023","11.550","10.325","11.550","10.075","103,92M","11,59%"
"01/10/2023","10.350","11.100","11.700","10.125","123,77M","-6,55%"
"01/09/2023","11.075","11.200","11.450","10.700","90,13M","-1,12%"
"01/08/2023","11.200","11.200","11.775","10.850","111,21M","0,00%"
"01/07/2023","11.200","11.600","11.925","10.950","139,88M","-1,10%"
"01/06/2023","11.325","11.575","11.575","10.975","165,78M","-3,21%"
"01/05/2023","11.700","10.550","11.700","10.325","262,23M","10,64%"
"01/04/2023","10.575","9.975","10.575","9.850","65,83M","6,02%"
"01/03/2023","9.975","10.125","10.200","9.275","103,44M","-1,48%"
"01/02/2023","10.125","10.125","10.575","9.900","69,79M","0,25%"
"01/01/2023","10.100","9.975","10.600","9.875","112,61M","1,00%"
"01/12/2022","10.000","10.100","10.450","9.725","83,63M","-0,99%"
"01/11/2022","10.100","9.725","10.100","9.350","115,20M","3,86%"
"01/10/2022","9.725","8.650","9.900","8.475","147,75M","12,43%"
"01/09/2022","8.650","8.300","9.100","8.300","157,38M","4,22%"
"01/08/2022","8.300","8.850","8.975","8.125","172,06M","-5,95%"
"01/07/2022","8.825","9.550","9.600","8.775","155,94M","-7,59%"
"01/06/2022","9.550","8.750","9.625","8.200","205,96M","11,37%"
"01/05/2022","8.575","7.550","8.650","7.200","171,59M","12,46%"
"01/04/2022","7.625","7.350","7.650","7.050","163,04M","3,74%"
"01/03/2022","7.350","8.500","8.525","7.200","277,18M","-13,53%"
"01/02/2022","8.500","8.725","8.750","8.350","120,56M","-2,58%"
"01/01/2022","8.725","8.675","8.975","8.525","86,67M","0,29%"
"01/12/2021","8.700","8.725","8.975","8.500","90,12M","2,96%"
"01/11/2021","8.450","8.800","9.200","8.450","103,16M","-3,98%"
"01/10/2021","8.800","8.350","9.425","8.225","170,22M","5,39%"
"01/09/2021","8.350","8.500","8.550","8.075","80,43M","-0,89%"
"01/08/2021","8.425","8.125","8.650","7.950","87,98M","3,69%"
"01/07/2021","8.125","8.425","9.025","8.125","133,04M","-0,31%"
"01/06/2021","8.150","8.250","8.700","7.625","128,89M","-0,61%"
"01/05/2021","8.200","8.700","8.700","8.050","88,14M","-5,75%"
"01/04/2021","8.700","9.075","9.150","8.500","84,34M","-5,43%"
"01/03/2021","9.200","8.600","9.275","8.300","222,32M","7,29%"
"01/02/2021","8.575","9.000","9.575","8.500","218,63M","-5,77%"
"01/01/2021","9.100","9.600","9.900","9.000","214,05M","-4,96%"
"01/12/2020","9.575","10.000","10.225","9.275","315,63M","-3,28%"
"01/11/2020","9.900","9.650","10.625","9.600","292,79M","2,59%"
"01/10/2020","9.650","10.075","10.200","9.650","97,61M","-4,22%"
"01/09/2020","10.075","10.175","10.600","9.600","126,16M","-1,47%"
"01/08/2020","10.225","9.200","10.625","9.075","201,52M","11,14%"
"01/07/2020","9.200","9.350","9.650","9.000","179,05M","-1,60%"
"01/06/2020","9.350","8.250","9.500","8.200","326,76M","14,72%"
"01/05/2020","8.150","9.875","9.975","7.750","361,80M","-17,47%"
"01/04/2020","9.875","10.200","10.600","9.575","107,78M","-3,42%"
"01/03/2020","10.225","10.275","11.125","8.125","155,32M","-0,49%"
"01/02/2020","10.275","11.375","11.700","9.900","132,29M","-9,67%"
"01/01/2020","11.375","11.275","11.900","11.050","79,86M","2,02%"
"01/12/2019","11.150","11.350","11.625","11.100","93,97M","-1,55%"
