"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","7.350","7.400","7.450","7.000","154,19M","-0,68%"
"01/10/2025","7.400","7.275","7.575","6.850","193,89M","2,42%"
"01/09/2025","7.225","7.100","7.950","7.075","151,78M","-3,02%"
"01/08/2025","7.450","8.675","8.700","7.450","151,93M","-12,61%"
"01/07/2025","8.525","8.050","8.825","7.875","169,05M","4,92%"
"01/06/2025","8.125","7.925","8.500","7.650","181,22M","3,17%"
"01/05/2025","7.875","7.825","8.500","7.525","153,65M","-1,56%"
"01/04/2025","8.000","6.600","8.000","6.550","119,17M","12,68%"
"01/03/2025","7.100","7.200","7.550","6.525","155,39M","-0,35%"
"01/02/2025","7.125","7.850","8.175","7.050","170,23M","-9,24%"
"01/01/2025","7.850","7.750","7.875","7.275","155,59M","1,95%"
"01/12/2024","7.700","7.475","8.300","7.475","187,88M","1,99%"
"01/11/2024","7.550","7.700","8.000","7.250","245,31M","-0,66%"
"01/10/2024","7.600","7.050","7.650","6.825","247,21M","7,80%"
"01/09/2024","7.050","6.825","7.250","6.650","264,18M","2,92%"
"01/08/2024","6.850","6.075","6.900","5.950","268,12M","11,84%"
"01/07/2024","6.125","6.075","6.200","5.900","153,18M","0,82%"
"01/06/2024","6.075","5.900","6.250","5.850","135,14M","3,40%"
"01/05/2024","5.875","6.250","6.275","5.875","152,61M","-6,00%"
"01/04/2024","6.250","6.400","6.600","6.025","156,70M","-1,96%"
"01/03/2024","6.375","6.550","6.675","6.225","159,12M","-3,77%"
"01/02/2024","6.625","6.350","6.750","6.300","149,24M","3,92%"
"01/01/2024","6.375","6.450","6.550","6.325","145,99M","-1,16%"
"01/12/2023","6.450","6.425","6.625","6.250","129,86M","0,39%"
"01/11/2023","6.425","6.700","6.950","6.225","175,61M","-3,38%"
"01/10/2023","6.650","6.625","7.100","6.600","169,36M","0,38%"
"01/09/2023","6.625","7.100","7.100","6.575","195,12M","-6,69%"
"01/08/2023","7.100","7.275","7.275","6.900","172,04M","-3,07%"
"01/07/2023","7.325","7.350","7.550","7.150","163,94M","-0,34%"
"01/06/2023","7.350","7.200","7.500","7.125","181,42M","3,52%"
"01/05/2023","7.100","6.475","7.275","6.400","227,02M","10,08%"
"01/04/2023","6.450","6.200","6.500","6.175","101,96M","4,03%"
"01/03/2023","6.200","6.475","6.500","6.050","161,12M","-4,25%"
"01/02/2023","6.475","6.700","6.900","6.475","127,06M","-3,72%"
"01/01/2023","6.725","6.725","7.000","6.500","148,19M","0,00%"
"01/12/2022","6.725","6.550","7.000","6.525","169,33M","4,26%"
"01/11/2022","6.450","6.450","6.550","6.250","141,27M","0,00%"
"01/10/2022","6.450","6.025","6.475","6.025","176,71M","7,05%"
"01/09/2022","6.025","6.225","6.450","6.025","226,63M","-3,21%"
"01/08/2022","6.225","6.825","6.925","6.200","212,26M","-8,46%"
"01/07/2022","6.800","7.050","7.200","6.725","166,05M","-3,55%"
"01/06/2022","7.050","6.700","7.250","6.575","283,03M","6,82%"
"01/05/2022","6.600","6.225","6.600","6.000","200,05M","4,76%"
"01/04/2022","6.300","5.975","6.400","5.950","189,40M","5,88%"
"01/03/2022","5.950","6.225","6.275","5.725","271,40M","-4,03%"
"01/02/2022","6.200","6.325","6.475","6.200","126,44M","-1,98%"
"01/01/2022","6.325","6.325","6.600","6.200","148,36M","0,00%"
"01/12/2021","6.325","6.400","6.650","6.300","140,01M","0,40%"
"01/11/2021","6.300","6.325","6.650","6.200","209,96M","-0,79%"
"01/10/2021","6.350","6.325","6.950","6.175","218,37M","0,00%"
"01/09/2021","6.350","6.275","6.575","6.100","153,21M","2,83%"
"01/08/2021","6.175","6.175","6.525","6.050","155,08M","1,65%"
"01/07/2021","6.075","6.300","6.700","6.075","174,74M","-1,62%"
"01/06/2021","6.175","6.400","6.675","5.750","162,54M","-2,76%"
"01/05/2021","6.350","6.525","6.650","6.125","123,43M","-2,68%"
"01/04/2021","6.525","6.600","6.800","6.500","129,70M","-1,14%"
"01/03/2021","6.600","6.100","6.825","6.050","273,51M","9,09%"
"01/02/2021","6.050","6.100","6.475","6.000","214,48M","0,00%"
"01/01/2021","6.050","6.850","7.025","6.050","267,42M","-11,68%"
"01/12/2020","6.850","7.125","7.275","6.700","297,34M","-3,52%"
"01/11/2020","7.100","7.000","7.425","6.825","283,09M","1,43%"
"01/10/2020","7.000","7.100","7.375","7.000","132,93M","-2,10%"
"01/09/2020","7.150","7.600","8.000","7.000","219,22M","-6,23%"
"01/08/2020","7.625","6.475","7.850","6.300","265,38M","18,22%"
"01/07/2020","6.450","6.500","6.800","6.350","254,39M","-1,15%"
"01/06/2020","6.525","5.800","6.800","5.800","310,73M","13,48%"
"01/05/2020","5.750","6.500","6.750","5.225","267,95M","-11,88%"
"01/04/2020","6.525","6.350","6.925","6.050","214,63M","2,76%"
"01/03/2020","6.350","6.600","7.300","5.000","276,82M","-2,31%"
"01/02/2020","6.500","7.725","7.875","6.375","153,89M","-16,93%"
"01/01/2020","7.825","7.925","8.300","7.800","152,01M","-1,26%"
"01/12/2019","7.925","8.000","8.050","7.625","126,50M","-0,31%"
