"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","22.050","23.375","23.675","21.900","31,65M","-6,17%"
"01/10/2025","23.500","22.900","23.725","22.000","27,13M","2,73%"
"01/09/2025","22.875","22.000","23.200","21.900","27,98M","3,39%"
"01/08/2025","22.125","22.925","23.775","22.050","39,69M","-3,80%"
"01/07/2025","23.000","22.125","23.675","22.000","30,15M","4,55%"
"01/06/2025","22.000","22.575","24.050","22.000","40,00M","-2,55%"
"01/05/2025","22.575","22.000","23.000","21.875","29,42M","2,61%"
"01/04/2025","22.000","22.000","25.175","21.400","52,21M","-4,14%"
"01/03/2025","22.950","23.725","24.250","21.400","22,07M","-3,16%"
"01/02/2025","23.700","25.875","26.500","23.600","13,61M","-8,41%"
"01/01/2025","25.875","26.525","26.725","24.975","14,11M","-3,09%"
"01/12/2024","26.700","26.650","28.650","25.300","25,33M","0,19%"
"01/11/2024","26.650","25.075","28.000","25.025","38,95M","6,28%"
"01/10/2024","25.075","26.450","26.650","25.000","25,70M","-5,29%"
"01/09/2024","26.475","27.600","28.175","25.800","44,90M","-2,75%"
"01/08/2024","27.225","26.350","27.750","25.250","32,61M","3,52%"
"01/07/2024","26.300","23.975","27.925","23.975","32,74M","10,04%"
"01/06/2024","23.900","25.000","25.600","23.575","14,43M","-4,30%"
"01/05/2024","24.975","25.250","25.500","24.025","16,32M","-0,99%"
"01/04/2024","25.225","26.700","27.450","24.000","32,07M","-5,52%"
"01/03/2024","26.700","26.225","28.775","26.150","37,20M","1,91%"
"01/02/2024","26.200","27.050","27.375","25.750","18,07M","-3,14%"
"01/01/2024","27.050","25.600","27.825","25.550","24,94M","5,46%"
"01/12/2023","25.650","24.875","25.850","23.600","20,73M","4,48%"
"01/11/2023","24.550","26.325","26.475","24.525","17,32M","-7,45%"
"01/10/2023","26.525","28.850","29.000","26.025","32,91M","-8,46%"
"01/09/2023","28.975","29.000","31.425","28.000","43,11M","0,17%"
"01/08/2023","28.925","27.275","29.950","26.500","34,44M","6,34%"
"01/07/2023","27.200","24.350","28.900","24.350","43,49M","12,75%"
"01/06/2023","24.125","22.500","24.775","22.325","33,13M","9,04%"
"01/05/2023","22.125","33.300","33.350","22.125","60,08M","-33,56%"
"01/04/2023","33.300","39.725","41.500","32.200","65,59M","-15,48%"
"01/03/2023","39.400","37.200","41.500","36.150","70,28M","5,91%"
"01/02/2023","37.200","35.750","37.725","33.625","47,16M","2,76%"
"01/01/2023","36.200","39.050","40.000","34.275","49,98M","-7,24%"
"01/12/2022","39.025","42.100","42.300","38.600","36,53M","-6,53%"
"01/11/2022","41.750","44.375","44.650","37.000","115,08M","-7,33%"
"01/10/2022","45.050","41.500","45.650","41.475","55,98M","8,75%"
"01/09/2022","41.425","39.425","45.250","39.200","74,01M","5,41%"
"01/08/2022","39.300","39.600","41.275","36.500","100,18M","-0,76%"
"01/07/2022","39.600","30.675","39.975","29.225","85,67M","29,10%"
"01/06/2022","30.675","34.900","37.000","30.500","84,68M","-12,36%"
"01/05/2022","35.000","28.800","35.000","27.200","98,81M","23,24%"
"01/04/2022","28.400","28.600","28.825","25.600","117,11M","-0,53%"
"01/03/2022","28.550","27.350","30.200","25.500","151,88M","7,03%"
"01/02/2022","26.675","21.650","27.700","20.375","74,69M","23,21%"
"01/01/2022","21.650","19.350","22.700","19.325","61,29M","6,13%"
"01/12/2021","20.400","21.000","21.950","19.750","49,17M","-5,34%"
"01/11/2021","21.550","21.050","23.100","19.025","122,05M","-0,23%"
"01/10/2021","21.600","20.900","27.750","20.900","153,46M","3,85%"
"01/09/2021","20.800","16.000","21.300","15.900","91,51M","30,00%"
"01/08/2021","16.000","17.100","17.750","15.075","75,03M","-5,60%"
"01/07/2021","16.950","14.450","17.275","13.800","59,30M","19,37%"
"01/06/2021","14.200","13.075","15.200","13.050","80,28M","9,86%"
"01/05/2021","12.925","11.825","13.475","11.750","43,42M","8,84%"
"01/04/2021","11.875","11.500","12.875","11.475","37,73M","3,94%"
"01/03/2021","11.425","12.200","13.200","11.425","58,96M","-6,35%"
"01/02/2021","12.200","12.100","13.250","11.525","56,98M","-0,41%"
"01/01/2021","12.250","13.800","15.050","11.600","109,08M","-11,55%"
"01/12/2020","13.850","13.600","15.700","13.150","164,17M","5,73%"
"01/11/2020","13.100","8.200","14.150","8.200","139,72M","61,23%"
"01/10/2020","8.125","8.175","8.475","7.975","42,65M","-0,31%"
"01/09/2020","8.150","8.400","8.850","7.500","54,93M","-1,51%"
"01/08/2020","8.275","7.900","8.775","7.400","82,44M","4,75%"
"01/07/2020","7.900","7.150","8.350","7.050","95,23M","11,27%"
"01/06/2020","7.100","8.250","9.175","7.100","104,33M","-12,35%"
"01/05/2020","8.100","7.100","8.375","6.950","31,96M","12,50%"
"01/04/2020","7.200","8.000","9.000","6.800","30,20M","-11,11%"
"01/03/2020","8.100","11.150","11.225","5.650","55,07M","-28,32%"
"01/02/2020","11.300","10.050","11.350","9.800","40,71M","12,44%"
"01/01/2020","10.050","11.450","13.625","10.050","37,71M","-12,42%"
"01/12/2019","11.475","10.225","11.625","10.050","37,29M","12,22%"
