"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","1.200","1.285","1.320","1.170","4,06B","-5,88%"
"01/10/2025","1.275","1.135","1.345","1.050","1,80B","12,83%"
"01/09/2025","1.130","1.140","1.215","1.110","1,56B","-7,00%"
"01/08/2025","1.215","1.430","1.450","1.215","1,31B","-15,03%"
"01/07/2025","1.430","1.510","1.595","1.430","551,58M","-6,23%"
"01/06/2025","1.525","1.480","1.600","1.415","738,55M","0,66%"
"01/05/2025","1.515","1.340","1.570","1.315","894,47M","10,99%"
"01/04/2025","1.365","1.025","1.375","990","784,15M","20,26%"
"01/03/2025","1.135","1.120","1.160","985","1,16B","5,09%"
"01/02/2025","1.080","1.255","1.330","1.065","782,52M","-14,62%"
"01/01/2025","1.265","1.370","1.375","1.195","475,24M","-6,99%"
"01/12/2024","1.360","1.495","1.525","1.245","731,44M","-9,33%"
"01/11/2024","1.500","1.610","1.620","1.415","904,08M","-7,12%"
"01/10/2024","1.615","1.725","1.770","1.575","588,06M","-6,38%"
"01/09/2024","1.725","1.650","1.790","1.645","607,76M","4,55%"
"01/08/2024","1.650","1.590","1.795","1.590","796,56M","3,77%"
"01/07/2024","1.590","1.540","1.610","1.430","661,23M","4,26%"
"01/06/2024","1.525","1.475","1.620","1.475","589,73M","2,35%"
"01/05/2024","1.490","1.490","1.580","1.405","774,09M","2,41%"
"01/04/2024","1.455","1.480","1.525","1.375","443,85M","-1,36%"
"01/03/2024","1.475","1.485","1.535","1.405","658,30M","-1,01%"
"01/02/2024","1.490","1.510","1.555","1.430","834,86M","-1,32%"
"01/01/2024","1.510","1.610","1.620","1.475","1,05B","-6,21%"
"01/12/2023","1.610","1.610","1.735","1.555","619,33M","-0,31%"
"01/11/2023","1.615","1.670","1.690","1.550","827,18M","-4,44%"
"01/10/2023","1.690","1.750","1.870","1.585","539,55M","-3,70%"
"01/09/2023","1.755","1.820","1.865","1.660","707,40M","-3,31%"
"01/08/2023","1.815","1.900","1.910","1.770","759,32M","-5,22%"
"01/07/2023","1.915","2.050","2.090","1.885","941,53M","-6,59%"
"01/06/2023","2.050","2.070","2.100","1.920","572,64M","0,99%"
"01/05/2023","2.030","2.120","2.200","2.020","707,66M","-4,25%"
"01/04/2023","2.120","2.100","2.150","2.020","416,20M","0,95%"
"01/03/2023","2.100","2.100","2.350","2.040","543,24M","-0,47%"
"01/02/2023","2.110","2.060","2.360","2.030","625,07M","2,43%"
"01/01/2023","2.060","2.090","2.160","2.000","431,36M","-1,44%"
"01/12/2022","2.090","2.050","2.170","1.960","548,57M","0,97%"
"01/11/2022","2.070","2.050","2.150","1.875","827,02M","0,98%"
"01/10/2022","2.050","1.830","2.080","1.790","1,03B","12,02%"
"01/09/2022","1.830","1.680","1.930","1.635","1,05B","8,93%"
"01/08/2022","1.680","1.620","1.680","1.565","1,01B","3,70%"
"01/07/2022","1.620","1.670","1.735","1.585","786,89M","-2,41%"
"01/06/2022","1.660","1.670","1.720","1.585","898,58M","-0,90%"
"01/05/2022","1.675","1.600","1.675","1.530","940,74M","2,13%"
"01/04/2022","1.640","1.610","1.685","1.540","735,18M","1,86%"
"01/03/2022","1.610","1.635","1.690","1.575","858,49M","-2,13%"
"01/02/2022","1.645","1.650","1.695","1.520","600,75M","0,30%"
"01/01/2022","1.640","1.615","1.730","1.595","873,81M","1,55%"
"01/12/2021","1.615","1.605","1.635","1.545","758,67M","0,94%"
"01/11/2021","1.600","1.600","1.650","1.555","1,51B","0,00%"
"01/10/2021","1.600","1.430","1.610","1.355","1,08B","11,89%"
"01/09/2021","1.430","1.345","1.495","1.345","526,22M","6,32%"
"01/08/2021","1.345","1.280","1.395","1.240","699,79M","6,75%"
"01/07/2021","1.260","1.400","1.420","1.260","532,29M","-10,00%"
"01/06/2021","1.400","1.455","1.525","1.280","850,09M","-3,45%"
"01/05/2021","1.450","1.450","1.480","1.415","492,53M","0,69%"
"01/04/2021","1.440","1.570","1.580","1.440","369,48M","-8,28%"
"01/03/2021","1.570","1.490","1.635","1.485","891,98M","6,80%"
"01/02/2021","1.470","1.450","1.610","1.420","1,04B","0,34%"
"01/01/2021","1.465","1.500","1.960","1.455","3,30B","-1,01%"
"01/12/2020","1.480","1.505","1.590","1.455","999,31M","-1,66%"
"01/11/2020","1.505","1.530","1.545","1.440","975,33M","-1,31%"
"01/10/2020","1.525","1.600","1.650","1.515","498,41M","-1,61%"
"01/09/2020","1.550","1.585","1.610","1.410","586,82M","-1,90%"
"01/08/2020","1.580","1.575","1.640","1.470","790,82M","0,96%"
"01/07/2020","1.565","1.470","1.695","1.450","2,08B","7,19%"
"01/06/2020","1.460","1.365","1.520","1.320","635,98M","3,18%"
"01/05/2020","1.415","1.400","1.460","1.310","707,74M","-1,74%"
"01/04/2020","1.440","1.200","1.500","1.085","1,15B","20,00%"
"01/03/2020","1.200","1.220","1.340","830","1,23B","-1,64%"
"01/02/2020","1.220","1.410","1.490","1.175","441,32M","-14,69%"
"01/01/2020","1.430","1.620","1.680","1.430","359,84M","-11,73%"
"01/12/2019","1.620","1.535","1.640","1.525","399,68M","6,23%"
