"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","1.325","1.340","1.385","1.240","747,69M","-0,38%"
"01/10/2025","1.330","1.360","1.750","1.295","1,77B","-2,92%"
"01/09/2025","1.370","1.135","1.400","1.100","752,08M","17,60%"
"01/08/2025","1.165","1.260","1.275","1.150","598,30M","-9,34%"
"01/07/2025","1.285","1.245","1.350","1.215","976,75M","3,21%"
"01/06/2025","1.245","1.210","1.540","1.165","1,85B","1,22%"
"01/05/2025","1.230","1.050","1.280","1.015","829,31M","17,14%"
"01/04/2025","1.050","900","1.130","875","686,64M","2,44%"
"01/03/2025","1.025","1.020","1.040","900","580,31M","2,50%"
"01/02/2025","1.000","1.080","1.105","1.000","508,92M","-7,41%"
"01/01/2025","1.080","1.120","1.235","1.050","631,14M","-1,82%"
"01/12/2024","1.100","1.095","1.170","1.015","548,43M","0,92%"
"01/11/2024","1.090","1.255","1.285","1.060","609,44M","-14,84%"
"01/10/2024","1.280","1.270","1.460","1.210","1,88B","1,19%"
"01/09/2024","1.265","1.255","1.340","1.175","937,83M","0,80%"
"01/08/2024","1.255","1.355","1.380","1.200","869,82M","-4,92%"
"01/07/2024","1.320","1.340","1.405","1.245","789,75M","-1,12%"
"01/06/2024","1.335","1.395","1.395","1.205","636,66M","-4,30%"
"01/05/2024","1.395","1.290","1.495","1.270","1,03B","3,33%"
"01/04/2024","1.350","1.465","1.635","1.320","1,06B","-5,59%"
"01/03/2024","1.430","1.315","1.520","1.305","1,29B","9,16%"
"01/02/2024","1.310","1.200","1.345","1.105","1,16B","7,38%"
"01/01/2024","1.220","1.165","1.295","1.140","1,42B","5,63%"
"01/12/2023","1.155","1.145","1.210","980","2,04B","0,00%"
"01/11/2023","1.155","1.240","1.280","1.090","2,07B","-9,41%"
"01/10/2023","1.275","1.595","1.600","1.230","4,02B","-20,81%"
"01/09/2023","1.610","1.075","1.705","1.075","4,81B","50,47%"
"01/08/2023","1.070","1.145","1.160","1.010","1,68B","-5,31%"
"01/07/2023","1.130","895","1.145","880","1,88B","26,97%"
"01/06/2023","890","920","945","875","784,40M","-1,66%"
"01/05/2023","905","1.015","1.015","840","1,84B","-10,40%"
"01/04/2023","1.010","1.075","1.115","990","1,09B","0,00%"
"01/03/2023","1.010","1.155","1.170","855","1,50B","-12,17%"
"01/02/2023","1.150","1.375","1.410","1.020","1,91B","-17,56%"
"01/01/2023","1.395","1.020","1.430","985","1,22B","37,44%"
"01/12/2022","1.015","1.105","1.165","1.010","833,80M","-4,69%"
"01/11/2022","1.065","1.150","1.225","990","1,44B","-7,79%"
"01/10/2022","1.155","920","1.170","890","1,72B","26,23%"
"01/09/2022","915","855","1.040","840","3,50B","6,40%"
"01/08/2022","860","615","990","580","3,43B","40,98%"
"01/07/2022","610","630","635","540","1,24B","-3,94%"
"01/06/2022","635","575","705","555","2,61B","8,55%"
"01/05/2022","585","555","610","525","1,09B","6,36%"
"01/04/2022","550","555","585","505","1,53B","-0,90%"
"01/03/2022","555","615","720","540","2,82B","-7,50%"
"01/02/2022","600","560","680","520","2,07B","8,11%"
"01/01/2022","555","468","560","458","1,10B","19,10%"
"01/12/2021","466","470","525","464","822,71M","-2,51%"
"01/11/2021","478","575","575","474","853,79M","-16,14%"
"01/10/2021","570","550","650","530","1,77B","3,64%"
"01/09/2021","550","476","560","466","1,74B","15,55%"
"01/08/2021","476","490","530","418","2,04B","-2,46%"
"01/07/2021","488","640","650","488","947,64M","-23,75%"
"01/06/2021","640","680","760","610","942,75M","-7,25%"
"01/05/2021","690","670","780","655","1,39B","2,99%"
"01/04/2021","670","570","685","555","871,96M","17,54%"
"01/03/2021","570","700","710","555","976,62M","-17,99%"
"01/02/2021","695","630","730","615","2,47B","6,92%"
"01/01/2021","650","600","790","550","3,23B","10,17%"
"01/12/2020","590","510","700","484","3,57B","18,47%"
"01/11/2020","498","376","540","366","3,33B","30,37%"
"01/10/2020","382","340","398","328","2,03B","13,02%"
"01/09/2020","338","466","491","336","3,20B","-27,41%"
"01/08/2020","466","395","508","366","3,14B","18,54%"
"01/07/2020","393","383","423","379","1,92B","2,65%"
"01/06/2020","383","383","457","371","1,85B","2,73%"
"01/05/2020","372","386","440","364","1,26B","-2,22%"
"01/04/2020","381","327","444","310","1,90B","16,58%"
"01/03/2020","327","533","588","259","937,71M","-38,73%"
"01/02/2020","533","593","639","521","1,06B","-10,64%"
"01/01/2020","597","737","804","567","1,68B","-18,50%"
"01/12/2019","732","593","834","588","1,89B","21,83%"
