"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","2.480","2.530","2.700","2.420","85,53M","-3,88%"
"01/10/2025","2.580","2.490","2.710","2.360","125,77M","4,88%"
"01/09/2025","2.460","2.180","2.520","2.110","122,28M","11,82%"
"01/08/2025","2.200","2.370","2.480","2.200","143,64M","-7,56%"
"01/07/2025","2.380","2.540","2.770","2.380","135,30M","-6,30%"
"01/06/2025","2.540","2.720","2.820","2.360","179,77M","-6,62%"
"01/05/2025","2.720","2.510","2.820","2.470","158,22M","8,37%"
"01/04/2025","2.510","2.170","2.620","2.070","222,76M","12,05%"
"01/03/2025","2.240","2.350","2.610","2.130","299,29M","-4,68%"
"01/02/2025","2.350","2.420","2.590","2.280","276,08M","-2,89%"
"01/01/2025","2.420","2.550","2.620","2.290","222,90M","-4,72%"
"01/12/2024","2.540","2.610","2.740","2.250","249,29M","-1,55%"
"01/11/2024","2.580","2.760","2.840","2.540","239,00M","-4,80%"
"01/10/2024","2.710","3.170","3.300","2.710","283,09M","-14,51%"
"01/09/2024","3.170","3.060","3.310","2.930","227,38M","3,59%"
"01/08/2024","3.060","3.020","3.080","2.900","238,25M","1,32%"
"01/07/2024","3.020","3.020","3.090","2.890","247,27M","0,00%"
"01/06/2024","3.020","2.910","3.120","2.790","173,91M","4,50%"
"01/05/2024","2.890","2.950","3.200","2.830","374,95M","-0,34%"
"01/04/2024","2.900","2.740","3.030","2.600","176,92M","5,84%"
"01/03/2024","2.740","2.610","2.800","2.560","191,45M","6,20%"
"01/02/2024","2.580","2.700","2.850","2.580","222,86M","-4,09%"
"01/01/2024","2.690","2.850","2.860","2.490","268,85M","-5,61%"
"01/12/2023","2.850","2.800","2.850","2.670","292,68M","1,79%"
"01/11/2023","2.800","2.790","2.830","2.430","213,84M","2,19%"
"01/10/2023","2.740","2.700","2.930","2.670","215,36M","1,48%"
"01/09/2023","2.700","2.830","3.020","2.660","162,13M","-4,59%"
"01/08/2023","2.830","2.900","3.080","2.670","238,55M","-2,75%"
"01/07/2023","2.910","2.690","3.100","2.580","223,93M","8,18%"
"01/06/2023","2.690","2.710","2.820","2.580","174,48M","-0,74%"
"01/05/2023","2.710","2.890","2.900","2.480","257,82M","-6,23%"
"01/04/2023","2.890","2.950","2.960","2.660","165,03M","-1,37%"
"01/03/2023","2.930","3.040","3.200","2.800","202,10M","-2,01%"
"01/02/2023","2.990","3.010","3.190","2.850","169,10M","0,00%"
"01/01/2023","2.990","3.190","3.280","2.810","222,69M","-6,27%"
"01/12/2022","3.190","2.860","3.400","2.740","210,12M","12,32%"
"01/11/2022","2.840","2.760","2.970","2.600","292,54M","2,90%"
"01/10/2022","2.760","2.930","3.190","2.720","314,16M","-4,83%"
"01/09/2022","2.900","2.660","2.920","2.520","249,57M","9,02%"
"01/08/2022","2.660","2.490","2.690","2.480","315,02M","6,83%"
"01/07/2022","2.490","2.790","2.970","2.420","274,79M","-9,45%"
"01/06/2022","2.750","2.650","2.900","2.510","289,31M","5,36%"
"01/05/2022","2.610","2.520","3.140","2.420","241,64M","3,16%"
"01/04/2022","2.530","2.200","2.760","2.190","318,90M","16,59%"
"01/03/2022","2.170","2.220","2.270","2.080","392,68M","-2,25%"
"01/02/2022","2.220","2.520","2.580","2.150","372,39M","-11,90%"
"01/01/2022","2.520","2.260","2.530","2.080","368,04M","11,50%"
"01/12/2021","2.260","2.380","2.440","2.210","436,15M","-5,04%"
"01/11/2021","2.380","2.290","2.430","2.200","602,69M","4,39%"
"01/10/2021","2.280","2.300","2.350","2.200","508,86M","-0,87%"
"01/09/2021","2.300","2.340","2.450","2.240","484,64M","-1,29%"
"01/08/2021","2.330","2.580","2.610","2.200","551,56M","-10,04%"
"01/07/2021","2.590","2.820","2.950","2.510","627,90M","-7,50%"
"01/06/2021","2.800","2.600","2.890","2.400","809,24M","8,53%"
"01/05/2021","2.580","2.620","2.740","2.540","563,60M","-1,53%"
"01/04/2021","2.620","2.630","2.750","2.510","585,14M","-0,38%"
"01/03/2021","2.630","2.990","3.010","2.570","526,60M","-11,45%"
"01/02/2021","2.970","2.900","3.220","2.820","504,85M","2,41%"
"01/01/2021","2.900","2.770","3.030","2.440","718,93M","6,23%"
"01/12/2020","2.730","2.700","3.080","2.590","502,51M","1,11%"
"01/11/2020","2.700","2.630","2.820","2.270","576,55M","2,66%"
"01/10/2020","2.630","2.460","2.840","2.440","515,34M","7,35%"
"01/09/2020","2.450","2.370","2.560","2.150","669,42M","3,38%"
"01/08/2020","2.370","2.450","2.510","2.250","467,37M","-1,25%"
"01/07/2020","2.400","2.280","2.520","2.260","451,95M","5,73%"
"01/06/2020","2.270","2.370","2.580","2.200","135,45M","-4,22%"
"01/05/2020","2.370","1.945","2.590","1.830","63,36M","21,85%"
"01/04/2020","1.945","2.200","2.280","1.745","46,82M","-9,53%"
"01/03/2020","2.150","2.480","2.500","1.570","72,43M","-13,31%"
"01/02/2020","2.480","2.690","2.690","2.370","114,72M","-4,62%"
"01/01/2020","2.600","2.670","2.810","2.380","300,32M","-2,62%"
"01/12/2019","2.670","2.670","2.750","2.470","207,60M","0,00%"
