"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","1.805","1.745","1.855","1.700","703,41M","3,74%"
"01/10/2025","1.740","1.700","1.780","1.605","1,07B","2,96%"
"01/09/2025","1.690","1.700","1.800","1.640","799,58M","-1,17%"
"01/08/2025","1.710","1.625","1.740","1.605","752,17M","4,91%"
"01/07/2025","1.630","1.630","1.655","1.560","599,68M","0,93%"
"01/06/2025","1.615","1.830","1.895","1.530","1,43B","-11,26%"
"01/05/2025","1.820","1.685","1.895","1.595","1,38B","8,01%"
"01/04/2025","1.685","1.450","1.795","1.425","662,05M","8,36%"
"01/03/2025","1.555","1.500","1.585","1.445","842,12M","3,32%"
"01/02/2025","1.505","1.600","1.715","1.480","529,60M","-5,94%"
"01/01/2025","1.600","1.610","1.725","1.580","672,74M","0,63%"
"01/12/2024","1.590","1.540","1.665","1.515","657,05M","4,61%"
"01/11/2024","1.520","1.565","1.575","1.460","544,17M","-2,88%"
"01/10/2024","1.565","1.440","1.570","1.430","1,13B","9,06%"
"01/09/2024","1.435","1.540","1.570","1.435","1,01B","-6,82%"
"01/08/2024","1.540","1.600","1.700","1.505","1,10B","-3,75%"
"01/07/2024","1.600","1.540","1.635","1.505","924,51M","3,90%"
"01/06/2024","1.540","1.600","1.630","1.395","926,26M","-2,53%"
"01/05/2024","1.580","1.445","1.650","1.420","1,10B","7,48%"
"01/04/2024","1.470","1.360","1.485","1.275","905,56M","8,09%"
"01/03/2024","1.360","1.090","1.385","1.090","1,29B","24,77%"
"01/02/2024","1.090","1.170","1.210","1.090","899,67M","-6,44%"
"01/01/2024","1.165","1.130","1.190","1.110","662,50M","3,10%"
"01/12/2023","1.130","1.115","1.140","1.060","622,01M","1,35%"
"01/11/2023","1.115","1.260","1.265","1.100","1,04B","-11,16%"
"01/10/2023","1.255","1.375","1.420","1.220","805,62M","-8,73%"
"01/09/2023","1.375","1.350","1.480","1.335","1,15B","0,00%"
"01/08/2023","1.375","1.370","1.535","1.365","1,54B","0,73%"
"01/07/2023","1.365","1.310","1.410","1.310","858,71M","4,60%"
"01/06/2023","1.305","1.450","1.475","1.295","1,06B","-8,74%"
"01/05/2023","1.430","1.430","1.475","1.330","1,24B","0,00%"
"01/04/2023","1.430","1.420","1.460","1.340","847,58M","3,62%"
"01/03/2023","1.380","1.570","1.615","1.325","850,65M","-11,82%"
"01/02/2023","1.565","1.550","1.640","1.525","784,77M","1,29%"
"01/01/2023","1.545","1.760","1.770","1.505","831,64M","-12,22%"
"01/12/2022","1.760","1.900","1.920","1.745","574,64M","-6,38%"
"01/11/2022","1.880","1.965","1.990","1.765","1,44B","-4,81%"
"01/10/2022","1.975","1.745","1.995","1.720","1,65B","12,54%"
"01/09/2022","1.755","1.840","1.975","1.680","2,95B","-4,62%"
"01/08/2022","1.840","1.680","1.990","1.590","2,69B","9,52%"
"01/07/2022","1.680","1.590","1.745","1.500","1,80B","5,66%"
"01/06/2022","1.590","1.785","1.860","1.590","2,83B","-11,67%"
"01/05/2022","1.800","1.475","1.815","1.415","2,82B","24,14%"
"01/04/2022","1.450","1.405","1.470","1.325","1,53B","3,20%"
"01/03/2022","1.405","1.460","1.620","1.355","2,45B","-2,43%"
"01/02/2022","1.440","1.380","1.480","1.335","1,35B","4,35%"
"01/01/2022","1.380","1.375","1.420","1.260","1,35B","0,36%"
"01/12/2021","1.375","1.500","1.520","1.360","1,77B","-8,33%"
"01/11/2021","1.500","1.550","1.640","1.445","3,60B","-0,66%"
"01/10/2021","1.510","1.205","1.570","1.205","5,13B","26,89%"
"01/09/2021","1.190","1.035","1.215","1.015","3,34B","14,98%"
"01/08/2021","1.035","980","1.075","960","1,91B","6,15%"
"01/07/2021","975","1.005","1.085","970","1,95B","-2,99%"
"01/06/2021","1.005","1.130","1.250","990","3,72B","-9,87%"
"01/05/2021","1.115","1.240","1.280","1.055","2,91B","-8,98%"
"01/04/2021","1.225","1.325","1.345","1.145","1,44B","-6,84%"
"01/03/2021","1.315","1.450","1.515","1.290","1,42B","-8,68%"
"01/02/2021","1.440","1.345","1.545","1.270","2,71B","7,06%"
"01/01/2021","1.345","1.540","1.880","1.305","7,94B","-18,73%"
"01/12/2020","1.655","1.390","1.895","1.335","5,96B","19,06%"
"01/11/2020","1.390","1.050","1.500","1.045","3,75B","29,30%"
"01/10/2020","1.075","935","1.115","900","2,69B","16,22%"
"01/09/2020","925","1.265","1.340","905","2,69B","-26,29%"
"01/08/2020","1.255","1.265","1.350","1.180","1,96B","-0,79%"
"01/07/2020","1.265","1.135","1.280","1.110","2,66B","11,45%"
"01/06/2020","1.135","860","1.185","860","5,46B","31,98%"
"01/05/2020","860","850","910","780","2,83B","0,58%"
"01/04/2020","855","765","950","710","3,22B","10,32%"
"01/03/2020","775","1.290","1.465","605","2,31B","-39,45%"
"01/02/2020","1.280","1.680","1.725","1.255","1,64B","-24,93%"
"01/01/2020","1.705","2.170","2.200","1.705","883,94M","-21,43%"
"01/12/2019","2.170","1.925","2.260","1.915","707,15M","13,02%"
