"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","2.310","2.400","2.410","2.280","146,84M","-3,75%"
"01/10/2025","2.400","2.350","2.440","2.170","362,65M","2,13%"
"01/09/2025","2.350","2.350","2.440","2.320","232,42M","-2,08%"
"01/08/2025","2.400","2.420","2.500","2.390","207,02M","-0,83%"
"01/07/2025","2.420","2.470","2.510","2.380","254,34M","-1,63%"
"01/06/2025","2.460","2.900","3.070","2.380","860,26M","-14,88%"
"01/05/2025","2.890","2.700","2.930","2.640","397,86M","4,71%"
"01/04/2025","2.760","2.320","2.850","2.300","290,90M","9,52%"
"01/03/2025","2.520","2.590","2.610","2.250","182,49M","-2,70%"
"01/02/2025","2.590","2.690","2.750","2.480","177,39M","-3,72%"
"01/01/2025","2.690","2.750","2.760","2.600","175,56M","-2,18%"
"01/12/2024","2.750","2.700","2.860","2.570","204,06M","1,85%"
"01/11/2024","2.700","2.950","2.950","2.700","198,89M","-8,78%"
"01/10/2024","2.960","3.080","3.140","2.800","468,74M","-3,90%"
"01/09/2024","3.080","2.740","3.180","2.650","630,72M","12,82%"
"01/08/2024","2.730","2.700","2.820","2.510","365,46M","1,87%"
"01/07/2024","2.680","2.460","2.720","2.450","278,02M","9,39%"
"01/06/2024","2.450","2.500","2.590","2.380","171,06M","-1,61%"
"01/05/2024","2.490","2.760","3.020","2.420","523,12M","-17,82%"
"01/04/2024","3.030","2.970","3.160","2.850","349,42M","2,02%"
"01/03/2024","2.970","2.590","2.990","2.570","470,63M","16,02%"
"01/02/2024","2.560","2.610","2.700","2.540","160,85M","-1,92%"
"01/01/2024","2.610","2.440","2.720","2.440","280,02M","6,97%"
"01/12/2023","2.440","2.440","2.470","2.300","179,14M","0,83%"
"01/11/2023","2.420","2.460","2.490","2.310","190,68M","-2,42%"
"01/10/2023","2.480","2.810","2.830","2.450","306,76M","-11,43%"
"01/09/2023","2.800","2.860","3.000","2.780","366,04M","-2,10%"
"01/08/2023","2.860","2.770","3.070","2.720","521,36M","3,25%"
"01/07/2023","2.770","2.670","2.910","2.660","623,59M","3,36%"
"01/06/2023","2.680","3.090","4.060","2.680","1,27B","-12,42%"
"01/05/2023","3.060","3.860","3.860","2.840","661,76M","-26,09%"
"01/04/2023","4.140","4.000","4.200","3.920","270,80M","3,76%"
"01/03/2023","3.990","3.860","4.020","3.640","471,44M","3,37%"
"01/02/2023","3.860","3.400","3.870","3.250","319,20M","13,53%"
"01/01/2023","3.400","3.690","3.740","3.240","269,60M","-7,86%"
"01/12/2022","3.690","3.820","3.850","3.610","241,89M","-2,89%"
"01/11/2022","3.800","3.880","3.880","3.430","537,61M","-2,81%"
"01/10/2022","3.910","4.150","4.330","3.690","873,56M","-6,24%"
"01/09/2022","4.170","4.250","4.530","4.070","601,74M","-1,88%"
"01/08/2022","4.250","4.300","4.510","4.010","829,73M","-1,16%"
"01/07/2022","4.300","3.820","4.350","3.620","694,81M","12,57%"
"01/06/2022","3.820","4.550","4.630","3.680","1,76B","-15,67%"
"01/05/2022","4.530","3.850","4.540","3.560","1,32B","18,59%"
"01/04/2022","3.820","3.290","3.850","3.270","687,49M","16,11%"
"01/03/2022","3.290","3.170","3.760","3.170","1,11B","4,78%"
"01/02/2022","3.140","2.850","3.240","2.750","609,06M","10,18%"
"01/01/2022","2.850","2.660","2.920","2.600","612,83M","5,17%"
"01/12/2021","2.710","2.580","2.830","2.580","549,98M","4,23%"
"01/11/2021","2.600","2.630","2.740","2.500","530,07M","-2,99%"
"01/10/2021","2.680","2.760","3.000","2.560","1,32B","-2,90%"
"01/09/2021","2.760","2.150","2.790","2.150","931,18M","30,81%"
"01/08/2021","2.110","2.250","2.390","2.070","496,54M","-5,38%"
"01/07/2021","2.230","2.030","2.310","2.000","374,52M","11,50%"
"01/06/2021","2.000","2.240","2.370","1.995","524,99M","-9,50%"
"01/05/2021","2.210","2.350","2.370","2.120","292,38M","-6,75%"
"01/04/2021","2.370","2.650","2.720","2.340","457,10M","-9,54%"
"01/03/2021","2.620","2.740","2.870","2.580","673,10M","-3,32%"
"01/02/2021","2.710","2.590","2.760","2.400","921,38M","5,04%"
"01/01/2021","2.580","2.810","3.100","2.480","1,57B","-8,19%"
"01/12/2020","2.810","2.400","3.180","2.320","1,57B","19,07%"
"01/11/2020","2.360","1.960","2.530","1.935","1,22B","20,41%"
"01/10/2020","1.960","1.980","2.080","1.950","372,75M","-0,51%"
"01/09/2020","1.970","2.050","2.170","1.810","507,72M","-3,43%"
"01/08/2020","2.040","2.030","2.170","1.895","692,75M","0,49%"
"01/07/2020","2.030","2.020","2.200","1.995","1,18B","0,50%"
"01/06/2020","2.020","1.975","2.510","1.970","2,56B","3,86%"
"01/05/2020","1.945","1.870","2.160","1.780","1,00B","3,73%"
"01/04/2020","1.875","2.120","2.250","1.770","390,59M","-13,99%"
"01/03/2020","2.180","2.290","2.540","1.385","766,31M","-2,68%"
"01/02/2020","2.240","2.180","2.510","2.160","432,75M","1,36%"
"01/01/2020","2.210","2.640","2.870","2.200","581,24M","-16,92%"
"01/12/2019","2.660","2.460","2.730","2.450","396,41M","9,92%"
