"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","386","344","406","342","2,79B","14,20%"
"01/10/2025","338","338","472","314","7,27B","0,60%"
"01/09/2025","336","304","378","284","5,18B","5,66%"
"01/08/2025","318","187","356","185","8,33B","71,89%"
"01/07/2025","185","151","202","147","3,39B","23,33%"
"01/06/2025","150","163","171","144","2,61B","-7,41%"
"01/05/2025","162","206","212","158","3,02B","-20,59%"
"01/04/2025","204","172","216","170","1,97B","2,00%"
"01/03/2025","200","197","214","177","3,65B","5,26%"
"01/02/2025","190","181","244","173","6,09B","4,97%"
"01/01/2025","181","164","194","155","4,37B","8,38%"
"01/12/2024","167","130","199","126","8,42B","28,46%"
"01/11/2024","130","139","140","118","2,64B","-5,80%"
"01/10/2024","138","122","145","118","4,09B","13,11%"
"01/09/2024","122","122","128","118","2,24B","0,00%"
"01/08/2024","122","139","141","121","1,52B","-12,86%"
"01/07/2024","140","142","151","138","722,29M","-1,41%"
"01/06/2024","142","145","152","125","605,25M","-5,33%"
"01/05/2024","150","129","150","123","1,05B","16,28%"
"01/04/2024","129","141","142","117","752,23M","-8,51%"
"01/03/2024","141","150","164","141","1,01B","-5,37%"
"01/02/2024","149","154","162","142","1,04B","-3,25%"
"01/01/2024","154","164","166","150","1,25B","-9,41%"
"01/12/2023","170","157","170","147","1,34B","8,28%"
"01/11/2023","157","151","163","146","1,43B","3,97%"
"01/10/2023","151","158","168","143","1,40B","-4,43%"
"01/09/2023","158","148","167","148","1,42B","6,76%"
"01/08/2023","148","153","158","138","1,81B","-5,13%"
"01/07/2023","156","164","177","154","1,77B","-3,70%"
"01/06/2023","162","138","168","137","2,17B","17,39%"
"01/05/2023","138","165","177","132","2,35B","-16,36%"
"01/04/2023","165","185","190","164","909,81M","-12,23%"
"01/03/2023","188","216","220","175","1,52B","-12,96%"
"01/02/2023","216","228","242","210","1,48B","-4,42%"
"01/01/2023","226","206","240","204","1,81B","9,71%"
"01/12/2022","206","250","252","200","2,26B","-17,60%"
"01/11/2022","250","234","278","230","4,39B","6,84%"
"01/10/2022","234","206","244","198","3,01B","13,59%"
"01/09/2022","206","228","228","202","1,52B","-8,85%"
"01/08/2022","226","226","270","222","2,98B","2,73%"
"01/07/2022","220","220","242","195","3,37B","0,00%"
"01/06/2022","220","224","252","189","4,46B","-1,79%"
"01/05/2022","224","254","256","208","2,11B","-11,81%"
"01/04/2022","254","290","298","240","3,08B","-13,01%"
"01/03/2022","292","262","304","222","5,09B","13,18%"
"01/02/2022","258","292","308","238","2,99B","-11,64%"
"01/01/2022","292","326","336","278","1,65B","-10,43%"
"01/12/2021","326","346","376","314","1,62B","-4,68%"
"01/11/2021","342","424","454","342","2,50B","-18,57%"
"01/10/2021","420","402","468","359","2,01B","4,48%"
"01/09/2021","402","412","446","379","1,04B","-0,99%"
"01/08/2021","406","460","468","330","1,59B","-11,74%"
"01/07/2021","460","364","480","356","2,97B","27,07%"
"01/06/2021","362","345","366","283","2,17B","7,42%"
"01/05/2021","337","316","340","277","1,42B","6,98%"
"01/04/2021","315","340","361","286","1,57B","-7,35%"
"01/03/2021","340","402","404","324","912,47M","-14,14%"
"01/02/2021","396","436","468","364","988,53M","-9,17%"
"01/01/2021","436","460","510","408","1,91B","-4,80%"
"01/12/2020","458","329","490","309","1,95B","39,21%"
"01/11/2020","329","290","335","286","1,58B","10,03%"
"01/10/2020","299","240","301","226","1,45B","23,05%"
"01/09/2020","243","249","250","204","1,82B","-2,02%"
"01/08/2020","248","258","258","235","2,07B","-3,50%"
"01/07/2020","257","235","265","229","3,24B","10,30%"
"01/06/2020","233","200","239","177","4,75B","16,50%"
"01/05/2020","200","172","200","153","2,81B","13,64%"
"01/04/2020","176","152","184","143","3,33B","13,55%"
"01/03/2020","155","224","240","120","2,98B","-30,80%"
"01/02/2020","224","285","288","209","2,05B","-22,22%"
"01/01/2020","288","282","325","270","2,66B","2,13%"
"01/12/2019","282","238","299","237","4,01B","17,50%"
