"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","2.910","2.770","2.970","2.480","428,24M","5,43%"
"01/10/2025","2.760","2.840","2.880","2.380","185,46M","-2,82%"
"01/09/2025","2.840","2.550","2.970","2.520","171,67M","7,17%"
"01/08/2025","2.650","2.450","2.840","2.440","158,63M","7,72%"
"01/07/2025","2.460","2.700","2.810","2.390","204,99M","-8,55%"
"01/06/2025","2.690","2.820","3.060","2.500","220,13M","-4,27%"
"01/05/2025","2.810","2.570","2.960","2.400","394,61M","7,66%"
"01/04/2025","2.610","2.310","2.700","2.070","263,35M","-1,51%"
"01/03/2025","2.650","2.400","2.790","2.100","312,04M","13,73%"
"01/02/2025","2.330","2.810","2.930","2.310","217,49M","-17,08%"
"01/01/2025","2.810","3.320","3.350","2.730","163,35M","-14,59%"
"01/12/2024","3.290","3.500","3.540","3.220","201,28M","-6,00%"
"01/11/2024","3.500","3.950","3.990","3.480","185,52M","-11,39%"
"01/10/2024","3.950","3.770","4.650","3.770","499,31M","4,22%"
"01/09/2024","3.790","4.030","4.130","3.760","205,47M","-5,49%"
"01/08/2024","4.010","3.780","4.210","3.730","373,26M","2,56%"
"01/07/2024","3.910","3.790","4.450","3.780","614,33M","4,83%"
"01/06/2024","3.730","3.510","4.150","3.410","1,05B","6,88%"
"01/05/2024","3.490","4.680","4.750","3.490","749,97M","-25,27%"
"01/04/2024","4.670","5.900","5.900","4.580","228,26M","-20,85%"
"01/03/2024","5.900","6.075","6.125","5.650","172,18M","-3,28%"
"01/02/2024","6.100","6.200","6.550","6.000","185,32M","-1,61%"
"01/01/2024","6.200","6.400","6.550","5.850","115,60M","-3,13%"
"01/12/2023","6.400","6.425","6.650","6.075","89,49M","-1,54%"
"01/11/2023","6.500","6.175","6.725","6.000","120,95M","6,56%"
"01/10/2023","6.100","6.450","6.750","6.000","143,43M","-5,06%"
"01/09/2023","6.425","6.825","7.100","6.425","118,44M","-5,51%"
"01/08/2023","6.800","6.875","7.250","6.600","243,63M","-2,51%"
"01/07/2023","6.975","6.050","7.125","6.025","253,46M","14,81%"
"01/06/2023","6.075","5.750","6.250","5.700","154,21M","4,74%"
"01/05/2023","5.800","5.950","6.175","5.625","285,35M","-2,52%"
"01/04/2023","5.950","6.300","6.375","5.925","172,25M","-5,56%"
"01/03/2023","6.300","7.225","7.325","5.850","212,01M","-12,80%"
"01/02/2023","7.225","7.400","7.775","7.175","159,51M","-2,36%"
"01/01/2023","7.400","6.600","7.475","6.600","248,77M","12,55%"
"01/12/2022","6.575","7.679","7.729","6.550","261,02M","-13,25%"
"01/11/2022","7.579","7.928","8.277","7.504","217,58M","-4,40%"
"01/10/2022","7.928","7.380","7.928","7.080","188,20M","6,35%"
"01/09/2022","7.454","6.582","7.529","6.357","293,06M","13,26%"
"01/08/2022","6.582","6.532","7.105","6.332","211,53M","1,15%"
"01/07/2022","6.507","7.105","7.130","6.308","170,69M","-8,42%"
"01/06/2022","7.105","7.280","7.679","6.457","271,43M","-2,40%"
"01/05/2022","7.280","6.357","7.355","5.834","278,74M","14,06%"
"01/04/2022","6.382","6.706","6.881","5.909","201,87M","-3,76%"
"01/03/2022","6.632","7.130","7.355","6.133","282,18M","-7,64%"
"01/02/2022","7.180","6.706","7.529","6.706","238,92M","7,06%"
"01/01/2022","6.706","7.280","7.504","6.532","256,74M","-7,24%"
"01/12/2021","7.230","8.028","8.252","7.155","405,52M","-9,37%"
"01/11/2021","7.978","9.075","10.072","7.978","336,47M","-12,09%"
"01/10/2021","9.075","8.127","9.199","7.853","435,18M","10,98%"
"01/09/2021","8.177","9.175","9.299","7.778","129,14M","-11,35%"
"01/08/2021","9.224","7.953","9.573","7.654","94,16M","20,13%"
"01/07/2021","7.679","9.548","9.573","7.679","85,45M","-18,95%"
"01/06/2021","9.474","9.873","10.571","9.299","82,99M","-2,06%"
"01/05/2021","9.673","10.271","10.396","9.075","68,45M","-6,95%"
"01/04/2021","10.396","10.396","11.169","9.723","83,03M","0,00%"
"01/03/2021","10.396","10.396","11.867","10.271","125,97M","2,21%"
"01/02/2021","10.172","10.745","11.967","9.922","89,34M","-3,77%"
"01/01/2021","10.571","12.391","12.939","10.571","129,27M","-14,69%"
"01/12/2020","12.391","11.892","12.964","11.418","105,46M","6,20%"
"01/11/2020","11.668","9.449","12.166","8.826","174,27M","22,19%"
"01/10/2020","9.548","9.274","9.673","9.000","61,97M","4,36%"
"01/09/2020","9.150","10.471","11.244","8.576","113,81M","-13,03%"
"01/08/2020","10.521","9.224","10.820","8.801","117,78M","14,36%"
"01/07/2020","9.199","9.673","10.122","9.125","83,83M","-4,16%"
"01/06/2020","9.598","9.873","10.371","8.875","108,36M","-1,79%"
"01/05/2020","9.773","7.753","9.798","7.230","120,58M","23,27%"
"01/04/2020","7.928","7.579","8.476","5.784","208,16M","4,26%"
"01/03/2020","7.604","10.371","11.543","5.460","170,41M","-27,21%"
"01/02/2020","10.446","11.867","12.565","9.573","99,82M","-12,34%"
"01/01/2020","11.917","12.116","13.213","11.817","99,39M","-0,42%"
"01/12/2019","11.967","11.418","13.014","11.343","93,38M","4,80%"
