"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","3.510","3.230","3.720","3.220","1,96B","9,35%"
"01/10/2025","3.210","3.060","3.480","2.850","2,18B","4,90%"
"01/09/2025","3.060","3.080","3.400","2.960","1,65B","-2,24%"
"01/08/2025","3.130","2.960","3.490","2.910","2,62B","8,68%"
"01/07/2025","2.880","2.800","2.930","2.610","1,58B","3,60%"
"01/06/2025","2.780","2.780","2.920","2.560","2,20B","-1,42%"
"01/05/2025","2.820","2.640","2.880","2.530","2,72B","6,82%"
"01/04/2025","2.640","2.050","2.660","2.050","1,89B","9,54%"
"01/03/2025","2.410","2.400","2.510","2.240","2,40B","2,55%"
"01/02/2025","2.350","2.620","2.710","2.300","2,52B","-11,65%"
"01/01/2025","2.660","2.710","2.770","2.570","1,44B","-1,85%"
"01/12/2024","2.710","2.720","2.880","2.500","1,87B","0,00%"
"01/11/2024","2.710","2.820","2.850","2.500","2,71B","-3,90%"
"01/10/2024","2.820","2.990","3.130","2.820","2,09B","-5,69%"
"01/09/2024","2.990","3.090","3.190","2.990","2,21B","-2,29%"
"01/08/2024","3.060","2.890","3.080","2.760","2,23B","6,25%"
"01/07/2024","2.880","3.130","3.280","2.840","2,73B","-7,99%"
"01/06/2024","3.130","2.930","3.140","2.700","2,14B","7,93%"
"01/05/2024","2.900","3.170","3.200","2.720","3,13B","-8,52%"
"01/04/2024","3.170","3.480","3.520","2.960","4,16B","-8,65%"
"01/03/2024","3.470","3.950","4.000","3.430","2,78B","-13,25%"
"01/02/2024","4.000","3.970","4.240","3.930","2,02B","1,01%"
"01/01/2024","3.960","3.950","4.040","3.860","1,29B","0,25%"
"01/12/2023","3.950","3.790","4.000","3.780","1,37B","5,05%"
"01/11/2023","3.760","3.600","3.820","3.480","1,81B","7,74%"
"01/10/2023","3.490","3.750","3.870","3.390","1,68B","-6,93%"
"01/09/2023","3.750","3.710","3.880","3.670","1,75B","0,54%"
"01/08/2023","3.730","3.700","3.850","3.670","2,21B","0,27%"
"01/07/2023","3.720","4.030","4.030","3.670","1,83B","-7,00%"
"01/06/2023","4.000","4.060","4.180","3.940","1,44B","-0,99%"
"01/05/2023","4.040","4.210","4.220","3.930","2,76B","-4,94%"
"01/04/2023","4.250","4.100","4.500","4.040","1,37B","4,68%"
"01/03/2023","4.060","3.930","4.130","3.850","1,66B","4,64%"
"01/02/2023","3.880","3.850","4.040","3.690","1,48B","0,78%"
"01/01/2023","3.850","3.750","4.010","3.710","1,69B","2,67%"
"01/12/2022","3.750","4.020","4.040","3.570","2,95B","-7,18%"
"01/11/2022","4.040","4.420","4.420","3.960","2,77B","-7,97%"
"01/10/2022","4.390","4.460","4.540","4.200","1,84B","-1,57%"
"01/09/2022","4.460","4.560","4.650","4.300","2,27B","-2,19%"
"01/08/2022","4.560","4.230","4.770","4.230","3,66B","7,80%"
"01/07/2022","4.230","4.010","4.320","3.840","1,59B","5,75%"
"01/06/2022","4.000","4.390","4.390","3.930","2,43B","-7,19%"
"01/05/2022","4.310","4.560","4.560","4.070","3,09B","-6,71%"
"01/04/2022","4.620","4.550","4.850","4.420","2,26B","0,87%"
"01/03/2022","4.580","4.640","4.700","4.270","3,23B","5,53%"
"01/02/2022","4.340","4.170","4.550","4.150","1,95B","3,58%"
"01/01/2022","4.190","4.060","4.400","4.030","1,63B","3,71%"
"01/12/2021","4.040","4.040","4.250","4.010","1,86B","1,25%"
"01/11/2021","3.990","3.810","4.170","3.590","2,94B","5,00%"
"01/10/2021","3.800","3.680","3.880","3.600","1,71B","2,98%"
"01/09/2021","3.690","3.420","3.690","3.300","1,75B","8,53%"
"01/08/2021","3.400","3.240","3.440","3.190","1,54B","4,94%"
"01/07/2021","3.240","3.160","3.290","3.000","2,25B","2,86%"
"01/06/2021","3.150","3.490","3.570","3.130","1,95B","-8,43%"
"01/05/2021","3.440","3.200","3.460","3.130","1,80B","7,50%"
"01/04/2021","3.200","3.390","3.440","3.130","1,46B","-6,43%"
"01/03/2021","3.420","3.490","3.510","3.280","2,07B","-2,01%"
"01/02/2021","3.490","3.130","3.570","3.040","2,65B","12,22%"
"01/01/2021","3.110","3.320","3.640","3.110","3,45B","-6,04%"
"01/12/2020","3.310","3.230","3.640","3.160","4,35B","2,48%"
"01/11/2020","3.230","2.590","3.500","2.540","5,84B","23,28%"
"01/10/2020","2.620","2.600","2.850","2.600","2,81B","2,34%"
"01/09/2020","2.560","2.900","2.970","2.540","2,76B","-10,49%"
"01/08/2020","2.860","3.060","3.060","2.850","2,24B","-6,23%"
"01/07/2020","3.050","3.070","3.190","3.000","2,54B","0,00%"
"01/06/2020","3.050","3.160","3.390","2.970","4,03B","-3,17%"
"01/05/2020","3.150","3.400","3.400","3.020","1,87B","-10,00%"
"01/04/2020","3.500","3.180","3.540","3.000","2,17B","10,76%"
"01/03/2020","3.160","3.470","3.880","2.450","3,04B","-9,46%"
"01/02/2020","3.490","3.800","3.850","3.340","1,62B","-8,16%"
"01/01/2020","3.800","3.970","4.030","3.780","1,52B","-4,28%"
"01/12/2019","3.970","3.960","4.110","3.900","1,60B","1,02%"
