"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","545","545","575","530","497,99M","0,00%"
"01/10/2025","545","585","585","505","649,64M","-6,84%"
"01/09/2025","585","585","630","570","907,18M","-4,88%"
"01/08/2025","615","620","700","585","722,99M","0,82%"
"01/07/2025","610","494","680","484","1,91B","23,48%"
"01/06/2025","494","600","600","472","661,47M","-15,56%"
"01/05/2025","585","570","630","550","503,24M","2,63%"
"01/04/2025","570","476","600","442","365,74M","12,87%"
"01/03/2025","505","525","555","496","378,96M","-2,88%"
"01/02/2025","520","635","640","520","473,46M","-18,11%"
"01/01/2025","635","655","730","630","562,86M","-3,05%"
"01/12/2024","655","705","740","610","737,90M","-7,09%"
"01/11/2024","705","800","805","695","459,19M","-11,88%"
"01/10/2024","800","855","870","765","665,27M","-6,43%"
"01/09/2024","855","835","885","795","905,59M","2,40%"
"01/08/2024","835","800","850","775","1,11B","5,03%"
"01/07/2024","795","735","815","720","903,04M","8,16%"
"01/06/2024","735","690","735","660","1,60B","6,52%"
"01/05/2024","690","805","805","685","3,22B","-14,29%"
"01/04/2024","805","860","870","770","649,17M","-6,40%"
"01/03/2024","860","925","925","845","413,25M","-6,52%"
"01/02/2024","920","890","945","865","721,07M","3,37%"
"01/01/2024","890","985","1.030","860","506,72M","-10,10%"
"01/12/2023","990","985","1.020","900","505,07M","-1,00%"
"01/11/2023","1.000","885","1.010","850","506,88M","12,36%"
"01/10/2023","890","960","975","820","617,97M","-7,29%"
"01/09/2023","960","1.035","1.070","960","390,77M","-6,80%"
"01/08/2023","1.030","1.015","1.075","950","613,45M","1,48%"
"01/07/2023","1.015","1.035","1.130","990","561,72M","-3,79%"
"01/06/2023","1.055","980","1.070","975","348,90M","6,57%"
"01/05/2023","990","1.020","1.045","960","462,27M","-3,41%"
"01/04/2023","1.025","930","1.055","905","435,19M","10,81%"
"01/03/2023","925","1.045","1.050","885","752,80M","-11,90%"
"01/02/2023","1.050","1.120","1.135","1.050","492,46M","-6,25%"
"01/01/2023","1.120","1.090","1.180","1.085","542,18M","1,82%"
"01/12/2022","1.100","1.150","1.160","1.045","1,08B","-2,65%"
"01/11/2022","1.130","1.155","1.180","1.120","803,92M","-2,16%"
"01/10/2022","1.155","1.235","1.245","1.085","1,08B","-6,48%"
"01/09/2022","1.235","1.240","1.295","1.160","1,11B","-0,40%"
"01/08/2022","1.240","1.175","1.270","1.160","1,25B","5,53%"
"01/07/2022","1.175","1.100","1.210","1.035","2,04B","6,82%"
"01/06/2022","1.100","995","1.110","870","1,27B","10,00%"
"01/05/2022","1.000","1.020","1.030","930","962,94M","-0,99%"
"01/04/2022","1.010","1.070","1.070","1.005","890,46M","-5,61%"
"01/03/2022","1.070","1.035","1.085","1.000","1,25B","3,38%"
"01/02/2022","1.035","1.025","1.070","1.000","916,92M","0,98%"
"01/01/2022","1.025","1.130","1.155","1.025","974,31M","-8,89%"
"01/12/2021","1.125","1.170","1.185","1.105","1,08B","-3,02%"
"01/11/2021","1.160","1.160","1.225","1.130","1,70B","0,00%"
"01/10/2021","1.160","1.315","1.315","1.135","2,38B","-12,45%"
"01/09/2021","1.325","1.340","1.430","1.290","1,17B","-1,12%"
"01/08/2021","1.340","1.465","1.475","1.240","1,72B","-8,53%"
"01/07/2021","1.465","1.250","1.625","1.225","1,65B","18,15%"
"01/06/2021","1.240","1.190","1.280","1.150","1,21B","5,53%"
"01/05/2021","1.175","1.145","1.245","1.090","1,11B","3,07%"
"01/04/2021","1.140","1.100","1.155","1.070","1,01B","3,64%"
"01/03/2021","1.100","1.275","1.325","1.060","1,57B","-13,04%"
"01/02/2021","1.265","955","1.265","940","1,97B","31,77%"
"01/01/2021","960","975","1.040","920","2,32B","0,00%"
"01/12/2020","960","1.090","1.090","940","2,95B","-12,33%"
"01/11/2020","1.095","990","1.140","965","7,12B","10,61%"
"01/10/2020","990","1.035","1.065","985","1,73B","-4,35%"
"01/09/2020","1.035","1.030","1.070","960","3,40B","0,00%"
"01/08/2020","1.035","1.145","1.180","1.015","5,46B","-8,81%"
"01/07/2020","1.135","1.020","1.150","1.005","3,26B","11,27%"
"01/06/2020","1.020","955","1.085","945","2,31B","6,81%"
"01/05/2020","955","890","975","820","1,36B","6,11%"
"01/04/2020","900","675","930","640","2,09B","33,33%"
"01/03/2020","675","805","860","575","2,04B","-16,15%"
"01/02/2020","805","845","900","775","1,57B","-4,73%"
"01/01/2020","845","800","860","770","1,48B","4,97%"
"01/12/2019","805","730","815","700","1,20B","10,27%"
