"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","28.000","26.875","28.450","26.650","61,46M","4,09%"
"01/10/2025","26.900","26.800","28.475","24.725","78,66M","0,47%"
"01/09/2025","26.775","24.000","27.500","23.500","80,53M","9,73%"
"01/08/2025","24.400","24.150","26.125","23.250","73,54M","1,04%"
"01/07/2025","24.150","21.275","24.400","21.175","80,72M","12,59%"
"01/06/2025","21.450","22.350","22.350","20.900","71,86M","-4,45%"
"01/05/2025","22.450","22.700","23.100","21.150","86,21M","-1,10%"
"01/04/2025","22.700","21.000","23.500","20.025","94,06M","-3,61%"
"01/03/2025","23.550","22.000","25.000","21.900","78,27M","5,37%"
"01/02/2025","22.350","24.875","25.500","22.025","72,47M","-10,15%"
"01/01/2025","24.875","26.600","26.600","24.300","56,81M","-7,10%"
"01/12/2024","26.775","26.775","28.500","25.050","60,98M","0,00%"
"01/11/2024","26.775","27.350","27.900","25.750","79,26M","-2,46%"
"01/10/2024","27.450","27.325","27.650","25.575","82,23M","1,10%"
"01/09/2024","27.150","27.300","28.150","26.050","83,05M","0,37%"
"01/08/2024","27.050","25.800","27.850","24.100","111,62M","4,84%"
"01/07/2024","25.800","22.175","25.825","21.900","97,97M","17,41%"
"01/06/2024","21.975","22.425","23.350","21.100","78,65M","-0,45%"
"01/05/2024","22.075","24.850","24.850","22.050","93,13M","-11,08%"
"01/04/2024","24.825","24.350","26.400","23.850","84,31M","2,69%"
"01/03/2024","24.175","23.525","24.900","23.450","71,90M","2,76%"
"01/02/2024","23.525","22.925","24.350","22.575","54,41M","2,51%"
"01/01/2024","22.950","22.600","25.000","22.325","84,03M","1,44%"
"01/12/2023","22.625","22.025","22.775","20.925","97,14M","3,31%"
"01/11/2023","21.900","25.100","25.100","21.900","108,34M","-12,84%"
"01/10/2023","25.125","28.225","28.350","24.300","118,46M","-11,06%"
"01/09/2023","28.250","26.000","28.775","26.000","85,61M","8,65%"
"01/08/2023","26.000","27.625","28.150","25.975","96,13M","-5,54%"
"01/07/2023","27.525","23.325","27.650","22.825","95,25M","18,26%"
"01/06/2023","23.275","22.525","23.775","22.525","95,69M","4,72%"
"01/05/2023","22.225","26.900","26.900","22.200","180,40M","-23,10%"
"01/04/2023","28.900","29.150","31.700","28.800","119,32M","-0,69%"
"01/03/2023","29.100","28.050","29.450","26.200","133,32M","4,30%"
"01/02/2023","27.900","24.600","30.150","23.800","107,27M","13,65%"
"01/01/2023","24.550","26.100","26.925","23.600","107,14M","-5,85%"
"01/12/2022","26.075","31.000","31.175","25.675","111,95M","-15,34%"
"01/11/2022","30.800","32.400","32.700","28.125","110,89M","-4,64%"
"01/10/2022","32.300","32.825","34.100","31.400","112,51M","-1,60%"
"01/09/2022","32.825","33.750","36.200","32.000","120,92M","-3,03%"
"01/08/2022","33.850","32.150","34.050","31.225","136,65M","4,80%"
"01/07/2022","32.300","28.400","33.500","26.125","120,69M","13,73%"
"01/06/2022","28.400","31.975","33.375","28.200","141,38M","-9,27%"
"01/05/2022","31.300","31.775","31.975","28.025","98,33M","3,39%"
"01/04/2022","30.275","25.775","30.800","25.475","115,30M","18,49%"
"01/03/2022","25.550","25.050","27.750","24.400","137,69M","2,61%"
"01/02/2022","24.900","23.075","25.750","22.100","80,91M","7,68%"
"01/01/2022","23.125","21.900","23.900","21.450","67,71M","4,40%"
"01/12/2021","22.150","21.400","23.350","21.250","82,23M","3,75%"
"01/11/2021","21.350","23.550","24.100","21.275","90,30M","-9,34%"
"01/10/2021","23.550","25.900","27.700","22.850","144,97M","-9,42%"
"01/09/2021","26.000","20.250","26.325","19.900","124,82M","29,51%"
"01/08/2021","20.075","19.600","20.925","18.550","79,71M","2,69%"
"01/07/2021","19.550","20.500","20.800","18.525","63,13M","-3,46%"
"01/06/2021","20.250","23.000","23.850","20.025","78,52M","-10,20%"
"01/05/2021","22.550","21.200","22.700","20.900","62,20M","6,49%"
"01/04/2021","21.175","22.200","22.925","21.075","57,98M","-4,29%"
"01/03/2021","22.125","22.900","23.600","21.000","113,35M","-1,88%"
"01/02/2021","22.550","22.850","24.650","22.000","97,94M","-1,31%"
"01/01/2021","22.850","26.550","27.450","22.300","115,26M","-14,10%"
"01/12/2020","26.600","23.500","28.475","23.100","118,81M","15,65%"
"01/11/2020","23.000","20.950","24.925","20.100","147,42M","8,88%"
"01/10/2020","21.125","23.000","23.000","20.900","54,32M","-7,35%"
"01/09/2020","22.800","23.225","24.200","20.625","82,04M","-0,87%"
"01/08/2020","23.000","21.500","25.175","19.875","117,65M","7,73%"
"01/07/2020","21.350","16.600","22.325","16.475","118,63M","29,00%"
"01/06/2020","16.550","15.600","18.375","15.500","86,30M","5,41%"
"01/05/2020","15.700","16.000","16.225","13.550","65,07M","-3,68%"
"01/04/2020","16.300","16.800","19.175","15.100","63,13M","-3,55%"
"01/03/2020","16.900","16.800","18.850","12.000","113,96M","1,81%"
"01/02/2020","16.600","19.175","19.350","16.575","92,95M","-13,54%"
"01/01/2020","19.200","21.700","23.250","19.125","82,89M","-10,80%"
"01/12/2019","21.525","20.925","22.375","20.450","58,52M","2,87%"
