"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/11/2025","2.600","2.650","2.750","2.460","651,31M","0,78%"
"01/10/2025","2.580","1.770","2.840","1.745","1,63B","44,94%"
"01/09/2025","1.780","1.650","1.940","1.645","604,72M","4,71%"
"01/08/2025","1.700","1.705","1.915","1.690","653,67M","-0,58%"
"01/07/2025","1.710","1.445","1.740","1.430","734,19M","17,93%"
"01/06/2025","1.450","1.730","1.765","1.305","489,60M","-16,18%"
"01/05/2025","1.730","1.720","1.860","1.670","517,12M","0,87%"
"01/04/2025","1.715","1.150","1.865","1.125","882,17M","35,57%"
"01/03/2025","1.265","985","1.420","985","2,01B","24,63%"
"01/02/2025","1.015","1.635","1.640","1.015","1,53B","-37,73%"
"01/01/2025","1.630","1.900","1.900","1.630","173,99M","-13,53%"
"01/12/2024","1.885","1.850","2.040","1.750","207,21M","1,07%"
"01/11/2024","1.865","1.965","1.970","1.735","428,60M","-5,09%"
"01/10/2024","1.965","2.230","2.440","1.960","577,17M","-11,09%"
"01/09/2024","2.210","2.280","2.340","2.170","533,81M","-2,64%"
"01/08/2024","2.270","2.440","2.540","2.240","469,35M","-6,97%"
"01/07/2024","2.440","2.990","3.080","2.410","312,69M","-19,21%"
"01/06/2024","3.020","3.150","3.210","2.950","295,65M","-3,21%"
"01/05/2024","3.120","2.620","3.390","2.530","448,74M","19,08%"
"01/04/2024","2.620","2.700","2.790","2.330","289,78M","-2,96%"
"01/03/2024","2.700","2.710","2.820","2.620","280,81M","-1,10%"
"01/02/2024","2.730","3.100","3.280","2.570","508,01M","-11,94%"
"01/01/2024","3.100","3.530","3.580","3.010","259,89M","-12,18%"
"01/12/2023","3.530","3.600","3.700","3.330","207,74M","-3,29%"
"01/11/2023","3.650","3.600","3.670","3.410","309,84M","0,83%"
"01/10/2023","3.620","3.740","4.100","3.540","334,12M","-3,21%"
"01/09/2023","3.740","3.670","3.890","3.460","246,50M","1,91%"
"01/08/2023","3.670","3.830","3.850","3.630","259,13M","-4,68%"
"01/07/2023","3.850","4.250","4.340","3.810","291,72M","-9,62%"
"01/06/2023","4.260","4.530","4.630","4.210","218,10M","-5,96%"
"01/05/2023","4.530","4.400","4.600","4.280","373,98M","2,95%"
"01/04/2023","4.400","4.350","4.470","3.960","223,38M","1,15%"
"01/03/2023","4.350","4.170","4.370","4.040","259,12M","4,07%"
"01/02/2023","4.180","4.630","5.050","4.180","415,39M","-10,30%"
"01/01/2023","4.660","4.700","4.870","4.570","191,93M","-0,85%"
"01/12/2022","4.700","4.800","4.870","4.560","226,20M","-2,08%"
"01/11/2022","4.800","4.590","4.800","4.460","460,43M","3,45%"
"01/10/2022","4.640","4.830","5.475","4.640","516,21M","-3,93%"
"01/09/2022","4.830","4.590","4.870","4.450","369,92M","5,23%"
"01/08/2022","4.590","4.530","4.880","4.510","450,04M","1,77%"
"01/07/2022","4.510","4.750","5.100","4.480","510,72M","-5,45%"
"01/06/2022","4.770","4.760","5.100","4.600","635,17M","0,85%"
"01/05/2022","4.730","4.000","5.125","3.890","1,21B","21,59%"
"01/04/2022","3.890","3.660","3.930","3.350","536,40M","6,28%"
"01/03/2022","3.660","3.690","3.810","3.280","734,77M","-0,54%"
"01/02/2022","3.680","4.030","4.080","3.670","421,11M","-8,68%"
"01/01/2022","4.030","4.120","4.340","4.000","301,92M","-1,95%"
"01/12/2021","4.110","4.480","4.550","4.050","334,55M","-8,26%"
"01/11/2021","4.480","4.500","4.890","4.360","576,56M","1,36%"
"01/10/2021","4.420","3.930","5.400","3.830","1,27B","11,90%"
"01/09/2021","3.950","4.070","4.300","3.800","533,35M","-2,47%"
"01/08/2021","4.050","4.220","4.480","4.010","491,02M","-4,03%"
"01/07/2021","4.220","4.950","5.250","4.220","544,91M","-14,75%"
"01/06/2021","4.950","6.000","6.000","4.710","457,12M","-15,38%"
"01/05/2021","5.850","6.000","6.000","5.425","430,70M","-2,50%"
"01/04/2021","6.000","6.575","6.800","5.925","226,65M","-8,75%"
"01/03/2021","6.575","7.000","7.000","6.450","252,58M","-6,07%"
"01/02/2021","7.000","6.900","7.350","6.675","232,44M","1,08%"
"01/01/2021","6.925","7.450","8.000","6.900","531,56M","-5,78%"
"01/12/2020","7.350","7.650","7.800","7.300","330,12M","-4,85%"
"01/11/2020","7.725","7.825","8.100","7.600","334,74M","-1,28%"
"01/10/2020","7.825","8.075","8.125","7.750","129,86M","-3,40%"
"01/09/2020","8.100","8.350","8.400","7.775","219,38M","-1,52%"
"01/08/2020","8.225","8.400","8.450","8.025","222,52M","-2,08%"
"01/07/2020","8.400","7.925","8.400","7.750","272,94M","6,33%"
"01/06/2020","7.900","7.850","8.475","7.800","315,22M","1,94%"
"01/05/2020","7.750","8.250","8.800","7.750","326,78M","-6,34%"
"01/04/2020","8.275","7.250","8.450","6.600","303,97M","14,14%"
"01/03/2020","7.250","6.825","7.725","5.275","487,24M","6,23%"
"01/02/2020","6.825","7.950","8.100","6.725","231,66M","-14,15%"
"01/01/2020","7.950","8.500","8.700","7.950","184,98M","-5,36%"
"01/12/2019","8.400","8.360","8.595","8.070","203,16M","0,48%"
